AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
137, 26450_1780.10209353291, 26518_1784.78195479868, 61.3501713023, 66.0300325681
138, 24069_1538.08440554923,   137, 210.8186641050, 391.4861807863
139,   138, 10543_622.013143924472, 779.6174578472, 74.3648603274
140,   136,   139, 457.0078680917, 227.4745972070
141,   140, 7323_443.307061047328, 184.1582883949, 307.2916630522
142, 3189_203.928226384173,   141, 72.1688005194, 4.2559721304
143,   131,   142, 1000.0883266396, 8.6038876518
144,   129,   143, -9.4697607940, 99.4805149697
145, 10734_632.791188035795, 14388_815.313307198715, 43.3709800318, 225.8930991948
146, 5939_368.439910407626,   145, 137.8739184328, 358.8542160291
147, 22738_1406.04823702822, 11121_653.597918302695, 776.6715815418, 24.2212628163
148,   147, 10380_614.229021922121, 336.2236161413, 321.0759825770
149, 23091_1442.62102058125, 28533_2032.70629230814, 230.2234963270, 820.3087680538
150, 18329_1077.71688583588,   149, 88.8386017321, 223.5192401505
151,   150, 18490_1087.91852482386, 200.3176718956, 299.3579126157
152,   148,   151, 35.5668787843, 530.9744516474
153,   146,   152, 66.8265679534, 93.8467365394
154, 24919_1630.24806479712,   153, 1602.4135186099, 135.9048778343
155,   144,   154, 23.9471643050, 28.1066872489
156,   126,   155, 6.2882973364, 32.3625720777
157, 26507_1784.21996188806, 27796_1938.49208126551, 125.1372400496, 279.4093594271
158,   157, 25190_1659.85023279002, 759.1493935555, 759.9169045071
159,   158, 15121_855.661856814883, 67.6411788154, 23.3697073474
160,   159, 14465_819.94524999177, 55.2941521770, 42.9472527013
161, 12764_732.529789116664,   160, 217.2952566958, 261.7634648697
162, 25551_1695.92609359054, 27038_1838.33839822258, 157.2057638595, 299.6180684915
163, 30577_2427.63816058304, 29006_2101.71602490249, 412.7847317254, 86.8625960448
164, 28627_2045.04415102806,   163, 138.5002679212, 108.3095457508
165,   162,   164, 101.6400834499, 469.4636368256
166,   165, 11832_684.721311082442, 777.1583923644, 24.7994571656
167, 11088_652.006311930777,   166, 30.8911856316, 38.8067276176
168, 13757_782.699333436711,   167, 657.4358673757, 495.8516602382
169,   161,   168, 494.5253206990, 104.5542543392
170,   156,   169, 81.4787709661, 134.8226958273
171, 20978_1279.15248066409, 28922_2088.29239655086, 26.4203067420, 835.5602226287
172, 19416_1157.03888156223,   171, 83.2115794065, 178.9048717665
173, 20756_1263.08637629, 23776_1507.34161141818, 119.0639973875, 363.3192325157
174,   173, 20620_1252.56968152909, 66.0459309959, 174.5932336225
175,   172,   174, 475.6143878019, 479.7635335527
176, 4538_289.918526117696,   175, 107.7720649499, 416.0664531861
177, 24767_1611.52717776042, 20961_1277.8412601267, 363.2420583834, 29.5561407497
178, 13374_762.393273411922,   177, 47.8083046557, 533.7001506207
179,   178, 10767_634.605685493588, 185.5215779898, 105.5422947271
180,   179, 11193_658.088615471905, 486.8870209606, 615.9122456660
181,   176,   180, 253.3099127545, 113.3398213926
182,   170,   181, 26.3827680503, 69.3328005690
183,   117,   182, 112.6785137879, 52.1701885498
184, 22274_1368.89877475594, 18391_1082.40608270459, 310.2157268769, 23.7230348256
