"","AncId","Desc","Branch.Length"
"192","249","RV2892_12-08-2011_Serengeti.fasta",66.05916
"193","250","248",207.685365
"194","250","249",477.545925
"195","251","246",203.868195
"196","251","250",476.78198
"197","252","RV3066_22-02-2013_Serengeti.fasta",404.488255
"198","252","RV3111_29-04-2012_Serengeti.fasta",106.16317
"199","253","251",191.860425
"200","253","252",1366.759655
"201","254","212",2371.113365
"202","254","253",702.33738
"203","255","RV2792_07-01-2011_Serengeti.fasta",168.793885
"204","255","RV3075_31-01-2013_Serengeti.fasta",922.794095
"205","256","255",242.383725
"206","256","RV2799_29-01-2011_Serengeti.fasta",433.177985
"207","257","RV2794_12-01-2011_Serengeti.fasta",446.739195
"208","257","RV2789_22-10-2010_Serengeti.fasta",364.739025
"209","258","RV2810_23-04-2010_Morogoro.fasta",59.031815
"210","258","RV2896_19-08-2011_Serengeti.fasta",542.031935
"211","259","257",312.3232
"212","259","258",436.030825
"213","260","256",898.60737
"214","260","259",555.72272
"215","261","254",617.823455
"216","261","260",1005.62318
"217","262","211",515.524175
"218","262","261",565.734305
"219","263","RV3128_16-06-2012_Serengeti.fasta",3616.939395
"220","263","262",210.25241
"221","264","263",321.46791
"222","264","RV2501_14-02-2004_Serengeti.fasta",895.74358
"223","265","RV2500_23-11-2008_Serengeti.fasta",221.90102
"224","265","RV2491_02-08-2008_Serengeti.fasta",109.20946
"225","266","265",66.85121
"226","266","RV2493_31-07-2008_Serengeti.fasta",174.065945
"227","267","RV2483_28-09-2008_Serengeti.fasta",309.31049
"228","267","266",76.405815
"229","268","RV2490_07-08-2008_Serengeti.fasta",47.909535
"230","268","RV2489_17-01-2009_Serengeti.fasta",210.50791
"231","269","267",160.18974
"232","269","268",369.732955
"233","270","269",772.533085
"234","270","RV2485_28-09-2008_Serengeti.fasta",1242.033315
"235","271","RV3117_12-05-2012_Serengeti.fasta",3326.135135
"236","271","270",762.721885
"237","272","264",868.432455
"238","272","271",1445.800405
"239","273","RV2773_26-10-2010_Kibaha.fasta",6791.64917
"240","273","272",2583.3532
"241","274","RV2783_28-02-2011_Newala.fasta",3389.713025
"242","274","RV2504_18-06-2003_Ngorongoro.fasta",579.713075
"243","275","RV2777_15-12-2010_Pemba.fasta",11663.444695
"244","275","274",8348.731505
"245","276","RV2949_17-07-2009_Dodoma.fasta",2903.45309
"246","276","RV2813_29-04-2010_Morogoro.fasta",3189.45322
"247","277","PM023_12-05-2017_Pemba.fasta",696.87698
"248","277","RAB16031_15-09-2016_Pemba.fasta",458.17209
"249","278","RAB16028_04-10-2016_Pemba.fasta",401.898945
"250","278","RAB16025_21-09-2016_Pemba.fasta",388.934145
"251","279","RAB16029_05-10-2016_Pemba.fasta",222.78286
"252","279","RAB16026_16-09-2016_Pemba.fasta",203.834615
"253","280","RAB16024_21-09-2016_Pemba.fasta",133.848055
"254","280","RAB16027_07-10-2016_Pemba.fasta",149.804395
"255","281","279",201.86179
"256","281","280",276.834615
"257","282","278",347.374515
"258","282","281",325.626355
"259","283","277",879.57992
"260","283","282",607.426795
"261","284","RV2503_15-02-2009_Serengeti.fasta",1167.409065
"262","284","283",2596.952005
"263","285","RV2784_28-02-2011_Nachingwea.fasta",1050.060835
"264","285","RV2767_12-09-2009_Serengeti.fasta",516.060725
"265","286","RV2778_15-12-2010_Pemba.fasta",1259.97562
"266","286","285",284.91462
"267","287","286",1100.399445
"268","287","RV2934_15-06-2007_Dodoma.fasta",1082.375015
"269","288","RV2772_02-08-2010_Kibaha.fasta",108.20571
"270","288","SD641_05-04-2017_Serengeti.fasta",2544.20549
"271","289","288",3551.056165
"272","289","SUB7087_19-10-2001_Temeke.fasta",452.261645
"273","290","RV3116_07-05-2012_Serengeti.fasta",996.851865
"274","290","RV2862_11-05-2011_Serengeti.fasta",635.19855
"275","291","289",397.79452
"276","291","290",3703.857575
"277","292","287",2174.586415
"278","292","291",342.90509
"279","293","284",3393.07285
"280","293","292",693.520805
"281","294","293",1118.06362
"282","294","RV2932_11-06-2007_Same.fasta",5064.54582
"283","295","276",4030.657405
"284","295","294",1103.56509
"285","296","295",1637.276485
"286","296","RV2861_11-05-2011_Serengeti.fasta",9234.38685
"287","297","296",1306.06709
"288","297","RV2811_24-04-2010_Morogoro.fasta",10158.454065
"289","298","275",1160.04665
"290","298","297",2430.03714
"291","299","273",8287.72942
"292","299","298",2305.887865
"293","300","RV2816_28-09-2010_Kilombero.fasta",54.91425
"294","300","RV2815_27-09-2010_Kilombero.fasta",53.91415
"295","301","300",924.154815
"296","301","RV2814_17-05-2010_Ulanga.fasta",845.06917
"297","302","RV2498_06-08-2008_Ulanga.fasta",1001.33881
"298","302","301",804.865515
"299","303","302",680.694705
"300","303","RV2499_05-08-2008_Ulanga.fasta",1681.0367
"301","304","303",3052.76802
"302","304","RV2817_26-11-2010_Pemba.fasta",5576.39773
"303","305","299",5558.53755
"304","305","304",15092.518955
