"","x"
"202",128
"203",13.8420671634376
"204",105
"205",39
"206",121
"207",32
"208",31
"209",27
"210",6.44653846696019
"211",32.1601498816162
"212",41
"213",40
"214",8.79502924717963
"215",3
"216",13.0993028394878
"217",220
"218",21.7506264336407
"219",8.27273069135845
"220",12.0111068151891
"221",24.4727387335151
"222",30.1193443872035
"223",4.02100347541273
"224",10.8296523280442
"225",7.28936903364956
"226",12.2885578330606
"227",7
"228",33
"229",45
"230",5.40109325945377
"231",4.80836902186275
"232",3.107392385602
"233",3
"234",3
"235",10.3826849013567
"236",259.884831793606
"237",27.4090135935694
"238",97.7192606534809
"239",13.5650824867189
"240",16.5674133878201
"241",13.1003231089562
"242",9.84181080199778
"243",19.3614470046014
"244",18.2978524081409
"245",20.5535017829388
"246",64.481442887336
"247",17
"248",5.68405232019722
"249",13
"250",6.49575898051262
"251",10.6588079016656
"252",26
"253",18
"254",22
"255",2
"256",95
"257",17.3793247062713
"258",33.7170099373907
"259",49.2505850046873
"260",22.3370945043862
"261",21.8329266607761
"262",33.723010269925
"263",19.9584640562534
"264",13.6674354914576
"265",27.6146515030414
"266",28
"267",11
"268",20.6709641851485
"269",39.5181054547429
"270",34.4352201726288
"271",20.7956591453403
"272",8
"273",34.9883166644722
"274",32.7256143223494
"275",44.6253190282732
"276",49.5418047439307
"277",19
"278",3
"279",16.3082115743309
"280",23.3754521738738
"281",21.8752906434238
"282",18.2103543560952
"283",53.9473912920803
"284",52.16439409554
"285",14.9315127655864
"286",13.8214454781264
"287",8.74694986455142
"288",62
"289",37
"290",13.4411872178316
"291",15
"292",112
"293",6.12250281311572
"294",14
"295",4
"296",22
"297",7.86136435344815
"298",12.5929297935218
"299",12.822377435863
"300",13.7779454868287
"301",10.3039369042963
"302",9.84042865969241
"303",10.8277543280274
"304",20.3763024378568
"305",4.82501086033881
"306",30
"307",10
"308",19
"309",10.3212275002152
"310",85
"311",36.9819650445133
"312",35.946655433625
"313",10.1442861687392
"314",28.0522689651698
"315",30.397530041635
"316",16.0117682162672
"317",14.1057695355266
"318",30.8618599921465
"319",24.7374212406576
"320",60
"321",27.0503937471658
"322",13
"323",48
"324",65
"325",13.3606326654553
"326",22.9207668658346
"327",3
"328",3
"329",15
"330",20.9208257701248
"331",91.2496741786599
"332",30
"333",9
"334",202
"335",207.03924655728
"336",30
"337",26
"338",125
"339",36
"340",61
"341",8
"342",22
"343",9
"344",4
"345",16
"346",21
"347",27
"348",30
"349",62
"350",15
"351",25
"352",7
"353",7
"354",12
"355",17
"356",3
"357",7
"358",216
"359",29
"360",21
"361",7
"362",14
"363",14
"364",14
"365",14
"366",35
"367",140
"368",5
"369",16
"370",8
"371",32
"372",7
"373",27
"374",15
"375",14
"376",8
"377",70
"378",12
"379",8
"380",6
"381",16
"382",5
"383",11
"384",7
"385",89
"386",25
"387",7
