# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Nov 29 11:53:19 GMT 2022 [seed=1669722787991]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
10000	-23216.205988155034	-457.5995004720075	-22758.606487683028	484.4108283127299	2052.91335007851	1234.3736522935637	8.294807726078059	1.59072843682083	3.961302216452866E-5	3.961302216452864E-5	-22758.606487683028	0.0	-461.7918013341492
11000	-23017.59328167174	-486.8615993179725	-22530.731682353766	485.50800126759486	2051.816177123645	1344.6188373632078	9.692433180334072	1.2884292545619416	3.301631795956243E-5	3.3016317959562424E-5	-22530.731682353766	0.0	-491.16081552790075
12000	-22877.747379590128	-513.6763147125617	-22364.071064877568	488.7743161303016	2048.5498622609384	1478.3794393236801	12.335416886181395	1.4898435261076552	3.2944255759032796E-5	3.2944255759032776E-5	-22364.071064877568	0.0	-517.696004785447
13000	-22523.037194247474	-535.3297416510264	-21987.70745259645	487.55690975835006	2049.7672686328897	1573.182065946162	14.76574951568189	1.3750241702836896	2.754236083431093E-5	2.7542360834310942E-5	-21987.70745259645	0.0	-539.3428703478753
14000	-22290.901015294305	-554.3148453474564	-21736.586169946848	487.9129011142296	2049.4112772770104	1672.5686186443545	15.978805170939003	1.4346243288368772	2.460844280682488E-5	2.460844280682487E-5	-21736.586169946848	0.0	-558.313638832298
15000	-22152.18317129759	-595.9484301774215	-21556.23474112017	497.43316228208187	2039.891016109158	1905.5557379183206	18.17421370640833	1.1376865355128971	2.1285281699522585E-5	2.1285281699522596E-5	-21556.23474112017	0.0	-600.0766672227207
16000	-21946.43939554246	-611.1065577685894	-21335.332837773873	495.4610986081416	2041.8630797830983	1987.334469833117	20.258749229688444	1.4631581513657737	1.7085982364233525E-5	1.7085982364233498E-5	-21335.332837773873	0.0	-615.1321009295309
17000	-21634.451959015114	-627.3294005312554	-21007.122558483858	494.39800585175675	2042.926172539483	2085.850816397676	25.977633121424084	1.369390032850421	1.8753620443580506E-5	1.8753620443580506E-5	-21007.122558483858	0.0	-631.1173325285563
18000	-21278.368251280728	-640.7213092848848	-20637.646941995845	493.95295567984397	2043.371222711396	2170.9190150570535	28.472489942078646	1.369390032850421	1.3029097959837846E-5	1.3029097959837846E-5	-20637.646941995845	0.0	-644.6304586740014
19000	-21154.433867137985	-648.2120444168481	-20506.221822721138	515.7986747677572	2021.5255036234826	2267.431160862314	28.530570964012096	1.2586663022758702	1.3504521709745962E-5	1.3504521709745956E-5	-20506.221822721138	0.0	-652.1656903279365
20000	-21131.046119553157	-654.9580294667576	-20476.0880900864	502.04268576515983	2035.28149262608	2280.127052169236	29.51169012578672	1.5340288183631963	1.3043927356850765E-5	1.3043927356850775E-5	-20476.0880900864	0.0	-658.7860074247699
21000	-21052.67321238275	-670.324620612988	-20382.34859176976	505.00178935939135	2032.3223890318486	2379.89708468978	37.886729130785284	1.2414063852523423	1.3081764014254535E-5	1.3081764014254542E-5	-20382.34859176976	0.0	-674.0411794109588
22000	-20974.7545127722	-677.3951268353288	-20297.35938593687	508.81831816284165	2028.5058602283982	2450.978151706625	33.08027671483864	1.396257372524016	1.0818641111886256E-5	1.0818641111886263E-5	-20297.35938593687	0.0	-681.2986469815567
23000	-20853.35460864912	-706.5480859913912	-20146.806522657727	512.8932512147037	2024.4309271765362	2689.2675385338184	39.146323652948425	1.0563805528394794	1.0378933540653128E-5	1.0378933540653134E-5	-20146.806522657727	0.0	-710.484090875615
24000	-20781.614509731655	-723.6578115576822	-20057.956698173974	528.5088841356186	2008.8152942556212	2863.5531814126766	41.924057463883834	1.1159476222526286	8.98782366671938E-6	8.987823666719377E-6	-20057.956698173974	0.0	-727.6081521571645
25000	-20690.21011879243	-725.9096585166858	-19964.300460275746	537.377417090552	1999.946761300688	2895.2528678785993	51.8651329677279	1.211146949615108	9.46668127198597E-6	9.466681271985969E-6	-19964.300460275746	0.0	-729.5877284057416
26000	-20610.976008649977	-762.9692832175667	-19848.00672543241	522.7065052960212	2014.6176730952188	3199.104854970428	62.69627018040556	1.2764021079011554	7.258326200185688E-6	7.258326200185694E-6	-19848.00672543241	0.0	-766.618393010575
27000	-20563.581710844595	-771.3721420043398	-19792.209568840255	521.168977295679	2016.1552010955609	3293.561417271761	60.679051019288416	1.4626445087741575	6.643490508146144E-6	6.64349050814614E-6	-19792.209568840255	0.0	-775.0378581527201
