"","Tip1","Tip2","TimeDiff","gens","snpsPerGen","snpDist"
"126","5417_318.922588101129","8004_436.990685302392",869.6239589361,43,0.0930232558139534,4
"127","5417_318.922588101129","5034_297.368573551243",730.001847185,19,0.263157894736842,5
"128","5417_318.922588101129","6273_355.987628454382",788.6209020881,25,0.2,5
"129","5417_318.922588101129","5487_322.408090703581",755.0413643373,34,0.147058823529412,5
"130","5417_318.922588101129","7663_418.154556204828",1634.4698251789,62,0.0806451612903226,5
"131","5417_318.922588101129","7698_420.042997459294",1636.3582664333,70,0.0714285714285715,5
"132","5417_318.922588101129","6491_365.569050654787",1581.8843196289,60,0.0833333333333334,5
"133","5417_318.922588101129","4756_285.415521249724",1501.7307902238,60,0.0833333333333334,5
"134","5417_318.922588101129","4455_269.638458521262",1485.9537274954,59,0.0847457627118645,5
"135","5417_318.922588101129","4948_294.584085578981",1510.8993545531,52,0.0961538461538462,5
"136","5417_318.922588101129","2964_183.876804346476",1400.1920733206,42,0.119047619047619,5
"137","5417_318.922588101129","4642_279.981475238827",1496.296744213,52,0.134615384615385,7
"138","5417_318.922588101129","947_39.8152593393362",1256.1305283135,34,0.117647058823529,4
"139","5417_318.922588101129","7370_402.39947988122",1618.7147488554,72,0.0833333333333333,6
"140","5417_318.922588101129","7092_390.897515494786",1607.2127844689,57,0.12280701754386,7
"141","5417_318.922588101129","5164_304.768096886755",1521.0833658609,60,0.116666666666667,7
"142","5417_318.922588101129","5686_331.686589626711",1548.0018586009,55,0.145454545454546,8
"143","5417_318.922588101129","3264_202.676049126343",1418.9913181005,56,0.125,7
"144","5417_318.922588101129","2462_149.423396113396",1365.7386650876,55,0.127272727272727,7
"145","5417_318.922588101129","1408_77.1543784142097",1293.4696473884,57,0.105263157894737,6
"146","5417_318.922588101129","3006_186.66103468003",1402.9763036542,44,0.113636363636364,5
"147","5417_318.922588101129","2077_125.942047368115",1342.2573163423,47,0.106382978723404,5
"148","5417_318.922588101129","2588_157.708182862503",1374.0234518367,57,0.105263157894737,6
"149","5417_318.922588101129","1130_54.9530118154158",1271.2682807896,46,0.152173913043478,7
"150","1805_106.105280176545","3106_190.934434258281",172.0198465099,7,0.142857142857143,1
"151","1805_106.105280176545","3347_206.416983554409",187.502395806,13,0.0769230769230769,1
"152","1805_106.105280176545","5030_297.238811628315",278.32422388,19,0.105263157894737,2
"153","1805_106.105280176545","4491_271.647829975728",252.7332422274,12,0.166666666666667,2
"154","1805_106.105280176545","7382_403.32037595417",384.4057882057,15,0.133333333333334,2
"155","1805_106.105280176545","7176_394.515615225714",375.6010274773,8,0.125,1
"156","1805_106.105280176545","9781_546.873138276622",527.9585505281,25,0.12,3
"157","1805_106.105280176545","13517_766.611160916713",747.6965731682,31,0.129032258064516,4
"158","1805_106.105280176545","10673_596.327413791202",577.4128260427,21,0.142857142857143,3
"159","1805_106.105280176545","21786_1300.80534853399",1281.8907607855,52,0.115384615384615,6
"160","1805_106.105280176545","21808_1302.46066652684",1283.5460787784,42,0.142857142857143,6
"161","1805_106.105280176545","21897_1307.92936142971",1289.0147736812,49,0.122448979591837,6
"162","1805_106.105280176545","30942_1844.65315464759",1825.7385668989,45,0.244444444444445,11
"163","1805_106.105280176545","31926_1894.56679886152",1875.6522111129,77,0.155844155844156,12
"164","1805_106.105280176545","30949_1845.1183134844",1826.2037257358,60,0.183333333333333,11
"165","1805_106.105280176545","40301_2235.84502384616",2216.9304360976,89,0.168539325842697,15
"166","1805_106.105280176545","38083_2154.12225116628",2135.2076634177,58,0.258620689655172,15
"167","1805_106.105280176545","41641_2285.04920865465",2266.134620906,92,0.152173913043479,14
"168","1805_106.105280176545","41220_2269.90886208745",2250.9942743388,79,0.177215189873418,14
"169","1805_106.105280176545","37418_2127.25946143736",2108.3448736888,80,0.2,16
"170","1805_106.105280176545","34185_1994.62023970808",1975.7056519595,60,0.2,12
"171","1805_106.105280176545","41984_2299.1985825079",2280.2839947593,73,0.205479452054795,15
"172","1805_106.105280176545","37035_2111.91092601268",2092.996338264,75,0.213333333333333,16
"173","1805_106.105280176545","34922_2031.60673048644",2012.6921427378,84,0.166666666666667,14
"174","1805_106.105280176545","33190_1954.03011702032",1935.1155292717,56,0.250000000000001,14
"175","1805_106.105280176545","45600_2425.09506708441",2406.1804793359,110,0.154545454545455,17
"176","1805_106.105280176545","48994_2536.93585007998",2518.0212623315,89,0.179775280898876,16
"177","1805_106.105280176545","44931_2404.55929688333",2385.6447091348,97,0.154639175257732,15
"178","1805_106.105280176545","41325_2274.03331569595",2255.1187279474,89,0.168539325842697,15
"179","1805_106.105280176545","39910_2222.21822721568",2203.3036394671,86,0.174418604651163,15
"180","1805_106.105280176545","37760_2140.53143237702",2121.6168446284,79,0.20253164556962,16
"181","1805_106.105280176545","34936_2031.97479493869",2013.0602071901,91,0.164835164835165,15
"182","1805_106.105280176545","32644_1930.94917342041",1912.0345856718,71,0.183098591549295,13
"183","1805_106.105280176545","32451_1922.87412619663",1903.959538448,70,0.185714285714285,13
"184","1805_106.105280176545","30672_1828.73180856698",1809.8172208184,83,0.120481927710843,9.99999999999999
"185","1805_106.105280176545","32830_1938.67286521006",1919.7582774615,54,0.166666666666667,9
"186","1805_106.105280176545","33056_1948.03357960697",1929.1189918584,69,0.144927536231884,9.99999999999999
"187","1805_106.105280176545","31336_1863.63339914755",1844.718811399,75,0.12,9
"188","1805_106.105280176545","29304_1751.49749570059",1732.582907952,64,0.140625,9
"189","1805_106.105280176545","27489_1653.82396674146",1634.9093789929,65,0.138461538461538,9
"190","1805_106.105280176545","23866_1425.41000824756",1406.495420499,50,0.16,8
"191","1805_106.105280176545","31970_1896.93605355611",1878.0214658076,54,0.148148148148148,8
"192","1805_106.105280176545","28841_1728.11566495756",1709.201077209,61,0.131147540983607,8
"193","1805_106.105280176545","29678_1771.22312732904",1752.3085395805,71,0.126760563380282,9
"194","1805_106.105280176545","24804_1484.00280336384",1465.0882156153,63,0.126984126984127,8
"195","1805_106.105280176545","45301_2415.71273530141",2396.798147553,83,0.0963855421686747,8
"196","1805_106.105280176545","45342_2417.23587598812",2398.3212882397,96,0.0833333333333334,8
"197","1805_106.105280176545","47612_2488.11682046354",2469.2022327151,92,0.0869565217391305,8
"198","1805_106.105280176545","24270_1449.14817165385",1430.2335839054,46,0.130434782608696,6
"199","1805_106.105280176545","21079_1255.02088121834",1236.1062934699,40,0.15,6
"200","1805_106.105280176545","22477_1343.33095451993",1324.4163667715,53,0.132075471698113,7
