"","AncId","Desc","Branch.Length"
"64","132","131",72.2492129832
"65","133","3379_389.660725603539",441.9351662653
"66","133","2287_230.82901359031",283.103454252
"67","134","132",1.4245301787
"68","134","133",-3.1825909631
"69","135","134",2.5569570027
"70","135","3884_452.030383915081",503.6791906164
"71","136","135",15.7778141822
"72","136","756_31.1249563583077",98.5515772419
"73","137","136",5.8925010942
"74","137","1847_176.209878011845",249.5289999896
"75","138","129",12.2514122095
"76","138","137",13.7606437935
"77","139","11417_1449.21620760165",90.7396241511
"78","139","20712_2117.3655752128",758.8889917623
"79","140","19648_2055.056470916",67.9950315861
"80","140","26793_2466.00694239111",478.9455030612
"81","141","21948_2198.09546864056",187.504913618
"82","141","19531_2048.23797979273",37.6474247701
"83","142","22351_2226.37672033467",288.9498901745
"84","142","20674_2114.66416524651",177.2373350864
"85","143","25130_2386.96605575681",613.5413968982
"86","143","17327_1916.83821928226",143.4135604236
"87","144","142",195.4693516278
"88","144","143",31.4671803263
"89","145","141",304.4062572254
"90","145","144",35.7731807352
"91","146","140",530.1066799606
"92","146","145",249.2295384279
"93","147","139",35.0279350196
"94","147","146",133.5061109384
"95","148","7487_1033.85390271153",3.492078214
"96","148","147",293.0868239334
"97","149","9511_1259.03012530135",296.7861821292
"98","149","148",68.1178813254
"99","150","6923_933.431700424922",90.0672706998
"100","150","7234_993.226429603555",149.8619998784
"101","151","149",212.3217684131
"102","151","150",93.4422549661
"103","152","19221_2029.41695535646",64.3702221773
"104","152","24809_2368.74612878824",403.6993956091
"105","153","15807_1810.76671386827",52.2119389568
"106","153","18195_1970.89505733288",212.3402824214
"107","154","20176_2085.33965846934",404.0155799209
"108","154","153",77.2306963631
"109","155","152",373.9276554416
"110","155","154",90.2050008109
"111","156","18926_2015.46021130251",126.0132376562
"112","156","24347_2345.33701036038",455.8900367141
"113","157","156",326.6103574627
"114","157","14479_1716.15662967442",153.3200134909
"115","158","15202_1769.635766366",106.0496735031
"116","158","20303_2090.46811712992",426.882024267
"117","159","158",218.0384505488
"118","159","11697_1482.75164868019",37.2040063661
"119","160","10916_1398.38320769913",113.5863238832
"120","160","159",160.7507584982
"121","161","157",340.7100279625
"122","161","160",62.670295595
"123","162","161",114.3832817576
"124","162","10907_1397.43501216104",289.6917056977
"125","163","162",25.8441416917
"126","163","9660_1275.00729866008",193.1081338884
"127","164","155",945.0250320718
"128","164","163",435.8051191059
"129","165","8178_1119.44247398262",53.3114891357
"130","165","7912_1087.09294183601",20.9619569891
"131","166","164",32.2196457272
"132","166","165",452.2565849083
"133","167","151",174.8515365068
"134","167","166",38.8037616864
"135","168","167",316.1437887104
"136","168","6054_787.769778815544",528.8429292737
"137","169","8316_1136.37030302231",691.743089759
"138","169","5127_662.839343021869",218.2121297585
"139","170","3127_355.205563502037",4.7512301704
"140","170","169",94.1728799317
"141","171","168",111.8547206179
"142","171","170",203.3822044077
"143","172","138",3.4487090791
"144","172","171",237.6006037744
"145","173","128",209.8334968201
"146","173","172",3.932182354
"147","174","111",26.6200517301
"148","174","173",4.1710678327
"149","175","25471_2402.84048417256",550.3161346621
"150","175","26491_2452.78402439378",600.2596748834
"151","176","22421_2231.84201267234",25.1695292722
"152","176","25579_2407.69269667625",201.0202132762
"153","177","175",304.5167572024
"154","177","176",658.6648910921
"155","178","15711_1806.05436621874",307.8627695298
"156","178","177",49.8159956191
"157","179","13281_1626.66300484033",175.2293805658
"158","179","14110_1688.89262018581",237.4589959113
"159","180","19557_2049.69080836128",102.255377584
"160","180","18306_1976.02414323862",28.5887124613
"161","181","180",16.5613939165
"162","181","17903_1952.52225737355",21.6482205127
"163","182","181",266.2197511722
"164","182","16896_1888.54819400171",223.8939083131
"165","183","179",5.8021358219
"166","183","182",219.022797236
"167","184","17626_1934.28930164195",140.0203295235
"168","184","16950_1892.79758993528",98.5286178169
"169","185","183",29.1067494348
"170","185","184",377.7442331007
"171","186","178",87.4310085298
"172","186","185",5.7641508586
"173","187","25957_2426.21380448945",292.6482858463
"174","187","24085_2329.93603896174",196.3705203186
"175","188","186",351.8698344985
"176","188","187",1074.6747649825
"177","189","25158_2388.23617001792",157.7667208132
"178","189","23160_2276.95683135614",46.4873821515
"179","190","189",143.542395261
"180","190","20745_2119.23704381609",32.3099898724
"181","191","190",93.4192366029
"182","191","22253_2218.74383897105",225.2360216302
"183","192","22283_2221.00515157887",304.8950253979
"184","192","191",77.3976911599
"185","193","15280_1775.60718588253",168.5631932174
"186","193","192",309.0661335158
"187","194","193",545.0933246121
"188","194","20832_2125.08052016073",1063.1298521077
"189","195","188",289.3307208027
"190","195","194",292.3906351952
"191","196","195",138.2381349851
"192","196","14875_1744.15430969874",1112.832411826
"193","197","196",115.2140991884
"194","197","6408_845.810377031974",329.7025783476
"195","198","197",294.1851101758
"196","198","4402_535.184170760779",313.2614822521
"197","199","174",82.5183246491
"198","199","198",403.0727381949
