AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
184, 8592_722.049397537976, 9630_821.474437206621, 35.6930839686, 135.1181236372
185,   183,   184, 129.5502125610, 248.0462511187
186,   185, 3264_230.044351402753, 409.7198005442, 201.4540894962
187,   182,   186, 53.6527950071, 25.3536005941
188,   181,   187, 341.7727919562, 22.5277596714
189,   180,   188, 13.0110729898, 33.5906376815
190,   189, 323 1, 23.2590687435, 77.1408047839
191,   152,   190, 332.4157865561, 12.0048382954
192, 806_26.0370339970572, 1034_42.9565798031533, 69.4594280527, 86.3789738588
193,   191,   192, 15.7750196719, 60.4982686957
194,   193, 1217_60.9748026470137, 7.3350864413, 172.2305518397
195, 6787_559.737847303679,   194, 670.5251483413, -0.4684481550
196,   141,   195, 97.1704740887, 13.6104509328
197, 10241_872.431461815111, 5674_464.230890302959, 528.9369085489, 120.7363370368
198, 3849_276.002281434907,   197, 73.8923636324, 141.3846354637
199,   196,   198, 34.3310957991, 360.8387655722
