"","Method","PercentSampled","EquivalentPerGenRate","R_Squared"
"46","Clock Rate",0.01,0.25,0.7399647593454
"47","Clock Rate",0.01,0.75,0.775271650688875
"48","Clock Rate",0.01,1.5,0.962164289960098
"49","Clock Rate",0.01,3,0.990458029198824
"50","Generation",0.01,2,0.42790229020444
"51","Clock Rate",0.01,0.1,0.773296089682972
"52","Clock Rate",0.01,0.2,0.415390804454015
"53","Clock Rate",0.01,0.5,0.879524720907943
"54","Clock Rate",0.01,1,0.760139463875386
"55","Clock Rate",0.01,2,0.946610774389089
"56","Clock Rate",0.01,0.05,0.195950222437656
"57","Clock Rate",0.01,0.15,0.734531480628816
"58","Clock Rate",0.01,0.25,0.7399647593454
"59","Clock Rate",0.01,0.75,0.775271650688875
"60","Clock Rate",0.01,1.5,0.962164289960098
"61","Clock Rate",0.01,3,0.990458029198824
"62","Generation",0.01,0.05,0.115778920455929
"63","Clock Rate",0.01,0.1,0.773296089682972
"64","Clock Rate",0.01,0.2,0.415390804454015
"65","Clock Rate",0.01,0.5,0.879524720907943
"66","Clock Rate",0.01,1,0.760139463875386
"67","Clock Rate",0.01,2,0.946610774389089
"68","Clock Rate",0.01,0.05,0.195950222437656
"69","Clock Rate",0.01,0.15,0.734531480628816
"70","Clock Rate",0.01,0.25,0.7399647593454
"71","Clock Rate",0.01,0.75,0.775271650688875
"72","Clock Rate",0.01,1.5,0.962164289960098
"73","Clock Rate",0.01,3,0.990458029198824
"74","Generation",0.01,0.15,0.265402121632042
"75","Clock Rate",0.01,0.1,0.773296089682972
"76","Clock Rate",0.01,0.2,0.415390804454015
"77","Clock Rate",0.01,0.5,0.879524720907943
"78","Clock Rate",0.01,1,0.760139463875386
"79","Clock Rate",0.01,2,0.946610774389089
"80","Clock Rate",0.01,0.05,0.195950222437656
"81","Clock Rate",0.01,0.15,0.734531480628816
"82","Clock Rate",0.01,0.25,0.7399647593454
"83","Clock Rate",0.01,0.75,0.775271650688875
"84","Clock Rate",0.01,1.5,0.962164289960098
"85","Clock Rate",0.01,3,0.990458029198824
"86","Generation",0.01,0.25,0.777644720471839
"87","Clock Rate",0.01,0.1,0.773296089682972
"88","Clock Rate",0.01,0.2,0.415390804454015
"89","Clock Rate",0.01,0.5,0.879524720907943
"90","Clock Rate",0.01,1,0.760139463875386
"91","Clock Rate",0.01,2,0.946610774389089
"92","Clock Rate",0.01,0.05,0.195950222437656
"93","Clock Rate",0.01,0.15,0.734531480628816
"94","Clock Rate",0.01,0.25,0.7399647593454
"95","Clock Rate",0.01,0.75,0.775271650688875
"96","Clock Rate",0.01,1.5,0.962164289960098
"97","Clock Rate",0.01,3,0.990458029198824
"98","Generation",0.01,0.75,0.831939489846534
"99","Clock Rate",0.01,0.1,0.773296089682972
"100","Clock Rate",0.01,0.2,0.415390804454015
"101","Clock Rate",0.01,0.5,0.879524720907943
"102","Clock Rate",0.01,1,0.760139463875386
"103","Clock Rate",0.01,2,0.946610774389089
"104","Clock Rate",0.01,0.05,0.195950222437656
"105","Clock Rate",0.01,0.15,0.734531480628816
"106","Clock Rate",0.01,0.25,0.7399647593454
"107","Clock Rate",0.01,0.75,0.775271650688875
"108","Clock Rate",0.01,1.5,0.962164289960098
"109","Clock Rate",0.01,3,0.990458029198824
"110","Generation",0.01,1.5,0.944460111762636
"111","Clock Rate",0.01,0.1,0.773296089682972
"112","Clock Rate",0.01,0.2,0.415390804454015
"113","Clock Rate",0.01,0.5,0.879524720907943
"114","Clock Rate",0.01,1,0.760139463875386
"115","Clock Rate",0.01,2,0.946610774389089
"116","Clock Rate",0.01,0.05,0.195950222437656
"117","Clock Rate",0.01,0.15,0.734531480628816
"118","Clock Rate",0.01,0.25,0.7399647593454
"119","Clock Rate",0.01,0.75,0.775271650688875
"120","Clock Rate",0.01,1.5,0.962164289960098
"121","Clock Rate",0.01,3,0.990458029198824
"122","Generation",0.01,3,0.885180126784306
"123","Clock Rate",0.01,0.1,0.773296089682972
"124","Clock Rate",0.01,0.2,0.415390804454015
"125","Clock Rate",0.01,0.5,0.879524720907943
"126","Clock Rate",0.01,1,0.760139463875386
"127","Clock Rate",0.01,2,0.946610774389089
"128","Clock Rate",0.01,0.05,0.195950222437656
"129","Clock Rate",0.01,0.15,0.734531480628816
"130","Clock Rate",0.01,0.25,0.7399647593454
"131","Clock Rate",0.01,0.75,0.775271650688875
"132","Clock Rate",0.01,1.5,0.962164289960098
