"","Method","PercentSampled","EquivalentPerGenRate","R_Squared"
"247","Generation",0.2,1,0.930248536783601
"248","Generation",0.2,2,0.88653944327543
"249","Generation",0.2,0.05,0.411617638999124
"250","Generation",0.2,0.15,0.665001728527754
"251","Generation",0.2,0.25,0.776257963077226
"252","Generation",0.2,0.75,0.950547948677893
"253","Generation",0.2,1.5,0.868488239599174
"254","Generation",0.2,3,0.95035418520575
"255","Clock Rate",0.2,0.1,0.747515830543992
"256","Clock Rate",0.2,0.2,0.4960180984785
"257","Clock Rate",0.2,0.5,0.762612677172731
"258","Clock Rate",0.2,1,0.962742820263956
"259","Clock Rate",0.2,2,0.966383662041948
"260","Clock Rate",0.2,0.05,0.732819188397614
"261","Clock Rate",0.2,0.15,0.588199110903281
"262","Clock Rate",0.2,0.25,0.793120099185438
"263","Clock Rate",0.2,0.75,0.965854509377805
"264","Clock Rate",0.2,1.5,0.959774623902754
"265","Clock Rate",0.2,3,0.98129439058337
"266","Generation",0.01,0.1,0.823428566930307
"267","Generation",0.01,0.2,0.506656731800757
"268","Generation",0.01,0.5,0.874965405140939
"269","Generation",0.01,1,0.544567158266356
"270","Generation",0.01,2,0.7398898970384
"271","Generation",0.01,0.05,0.03857985137603
"272","Generation",0.01,0.15,0.687606642808271
"273","Generation",0.01,0.25,0.173730939716062
"274","Generation",0.01,0.75,0.806748486391948
"275","Generation",0.01,1.5,0.54745031886547
"276","Generation",0.01,3,0.704737939471805
"277","Clock Rate",0.01,0.1,0.195340188496395
"278","Clock Rate",0.01,0.2,0.109262266186694
"279","Clock Rate",0.01,0.5,0.817954719955435
"280","Clock Rate",0.01,1,0.867519045143161
"281","Clock Rate",0.01,2,0.963429254659924
"282","Clock Rate",0.01,0.05,0.133853163665256
"283","Clock Rate",0.01,0.15,0.735766904286517
"284","Clock Rate",0.01,0.25,0.500766900829422
"285","Clock Rate",0.01,0.75,0.968999965587585
"286","Clock Rate",0.01,1.5,0.91959672272416
"287","Clock Rate",0.01,3,0.88073152023642
"288","Generation",0.05,0.1,0.606055536334477
"289","Generation",0.05,0.2,0.650724453725881
"290","Generation",0.05,0.5,0.390851089669778
"291","Generation",0.05,1,0.605970825763335
"292","Generation",0.05,2,0.763040969251899
"293","Generation",0.05,0.05,0.0373392492395403
"294","Generation",0.05,0.15,0.445844209427874
"295","Generation",0.05,0.25,0.43530911998282
"296","Generation",0.05,0.75,0.732045809783993
"297","Generation",0.05,1.5,0.771324741075982
"298","Generation",0.05,3,0.738823448521241
"299","Clock Rate",0.05,0.1,0.225640609930353
"300","Clock Rate",0.05,0.2,0.506995845489271
"301","Clock Rate",0.05,0.5,0.742075431872403
"302","Clock Rate",0.05,1,0.849839360551962
"303","Clock Rate",0.05,2,0.976386686392945
"304","Clock Rate",0.05,0.05,0.0688301603645116
"305","Clock Rate",0.05,0.15,0.65533846512972
"306","Clock Rate",0.05,0.25,0.480402255202127
"307","Clock Rate",0.05,0.75,0.906680377106987
"308","Clock Rate",0.05,1.5,0.938487638519291
"309","Clock Rate",0.05,3,0.955799974393396
"310","Generation",0.1,0.1,0.682280915799211
"311","Generation",0.1,0.2,0.531947548316644
"312","Generation",0.1,0.5,0.405373537058866
"313","Generation",0.1,1,0.641396053259216
"314","Generation",0.1,2,0.787727852994171
"315","Generation",0.1,0.05,0.00101431233587758
"316","Generation",0.1,0.15,0.610457910281828
"317","Generation",0.1,0.25,0.479030590248471
"318","Generation",0.1,0.75,0.734112008998982
"319","Generation",0.1,1.5,0.762772155273787
"320","Generation",0.1,3,0.729475662585315
"321","Clock Rate",0.1,0.1,0.187091043954617
"322","Clock Rate",0.1,0.2,0.535198992247143
"323","Clock Rate",0.1,0.5,0.770721475897705
"324","Clock Rate",0.1,1,0.859673072841841
"325","Clock Rate",0.1,2,0.975915114268609
"326","Clock Rate",0.1,0.05,0.102074709833899
"327","Clock Rate",0.1,0.15,0.670121792359156
"328","Clock Rate",0.1,0.25,0.54859059642468
"329","Clock Rate",0.1,0.75,0.90203774817756
"330","Clock Rate",0.1,1.5,0.917227915626019
"331","Clock Rate",0.1,3,0.957257002477484
"332","Generation",0.2,0.1,0.614456091382823
"333","Generation",0.2,0.2,0.523167781739037
"334","Generation",0.2,0.5,0.471800965064471
"335","Generation",0.2,1,0.64729133049054
"336","Generation",0.2,2,0.787779621989019
"337","Generation",0.2,0.05,0.00353876854949759
"338","Generation",0.2,0.15,0.473932054644721
"339","Generation",0.2,0.25,0.535383697951879
"340","Generation",0.2,0.75,0.732282397873667
"341","Generation",0.2,1.5,0.761214985275145
"342","Generation",0.2,3,0.695525869970692
"343","Clock Rate",0.2,0.1,0.231492657912004
"344","Clock Rate",0.2,0.2,0.498309253274317
"345","Clock Rate",0.2,0.5,0.712005963309908
"346","Clock Rate",0.2,1,0.869036174749244
"347","Clock Rate",0.2,2,0.979054460456012
"348","Clock Rate",0.2,0.05,0.111457097503322
"349","Clock Rate",0.2,0.15,0.672456764263031
"350","Clock Rate",0.2,0.25,0.540951130615931
"351","Clock Rate",0.2,0.75,0.906964300252838
"352","Clock Rate",0.2,1.5,0.927493774393781
"353","Clock Rate",0.2,3,0.942818150549465
"354","Generation",0.01,0.1,0.728255383897782
"355","Generation",0.01,0.2,0.922671650281157
"356","Generation",0.01,0.5,0.917105579670775
"357","Generation",0.01,1,0.899734839145437
"358","Generation",0.01,2,0.951782166862535
"359","Generation",0.01,0.05,0.633362828550351
"360","Generation",0.01,0.15,0.878253675775583
"361","Generation",0.01,0.25,0.855822782747416
"362","Generation",0.01,0.75,0.832412698077043
"363","Generation",0.01,1.5,0.960856395686383
"364","Generation",0.01,3,0.967052099624172
"365","Clock Rate",0.01,0.1,0.851729850592104
"366","Clock Rate",0.01,0.2,0.828432603095841
"367","Clock Rate",0.01,0.5,0.973506770040449
"368","Clock Rate",0.01,1,0.9718000875075
"369","Clock Rate",0.01,2,0.967609943850452
"370","Clock Rate",0.01,0.05,0.868698084796672
"371","Clock Rate",0.01,0.15,0.91596838949764
"372","Clock Rate",0.01,0.25,0.917896581035991
"373","Clock Rate",0.01,0.75,0.976485026267666
"374","Clock Rate",0.01,1.5,0.963957881972498
"375","Clock Rate",0.01,3,0.994269589604751
"376","Generation",0.05,0.1,0.664854887498715
"377","Generation",0.05,0.2,0.93135020884874
"378","Generation",0.05,0.5,0.9247823140749
"379","Generation",0.05,1,0.902124461096296
"380","Generation",0.05,2,0.947990847296716
"381","Generation",0.05,0.05,0.705373058755654
"382","Generation",0.05,0.15,0.793912818661381
"383","Generation",0.05,0.25,0.840306182670422
"384","Generation",0.05,0.75,0.845367962398381
"385","Generation",0.05,1.5,0.9592730726282
"386","Generation",0.05,3,0.967106800151789
"387","Clock Rate",0.05,0.1,0.836122778131018
"388","Clock Rate",0.05,0.2,0.798240823397293
