# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Nov 24 15:33:41 GMT 2022 [seed=1669304002729]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
26000	-21267.800442018965	-849.524906061083	-20418.27553595788	508.16519357518894	2029.158984816051	4219.8095110799095	122.33807271302099	1.3826567782183556	6.5310197067801435E-6	6.531019706780149E-6	-20418.27553595788	0.0	-852.6491212360536
27000	-21183.91979422024	-862.43160051844	-20321.4881937018	513.4408252937436	2023.8833530974962	4419.331673944921	128.178237345937	1.36813889302353	5.976210396418201E-6	5.976210396418204E-6	-20321.4881937018	0.0	-865.5837716495032
28000	-20981.866191307137	-888.678472144722	-20093.187719162415	513.845885398079	2023.478292993161	4800.489451783461	153.7733555988602	1.3074998950557493	5.616597345129024E-6	5.61659734512902E-6	-20093.187719162415	0.0	-891.7451859605087
29000	-20897.489486639162	-908.3423755455643	-19989.147111093596	514.752500870939	2022.571677520301	5088.341391358981	189.3212738933404	1.2981466434526283	4.39865557430424E-6	4.39865557430424E-6	-19989.147111093596	0.0	-911.3608348028644
30000	-20697.554044590175	-918.5753991647299	-19778.978645425446	514.2943671566005	2023.0298112346395	5279.418098019641	174.8472960954472	1.670026532351108	4.008778097325998E-6	4.008778097326003E-6	-19778.978645425446	0.0	-921.5863891193733
31000	-20683.501957746394	-921.6669325672551	-19761.835025179138	513.3081953421414	2024.0159830490984	5313.435108055486	194.8630252172286	1.5033447517038223	4.708342664828699E-6	4.708342664828698E-6	-19761.835025179138	0.0	-924.5572979013994
32000	-20642.668816356563	-935.0798138622483	-19707.589002494315	513.8744657415056	2023.4497126497345	5540.975320371375	220.72303359366478	1.2745558411683295	4.048629510675496E-6	4.0486295106755E-6	-19707.589002494315	0.0	-938.0383854074105
33000	-20620.180038752504	-942.74496328975	-19677.435075462752	516.9791369460218	2020.3450414452182	5691.71291237375	233.9997443649956	1.4902824506447816	3.472988628983459E-6	3.472988628983459E-6	-19677.435075462752	0.0	-945.6494965820863
34000	-20490.44589729611	-958.1363262256531	-19532.30957107046	518.0608857228009	2019.2632926684391	5958.956062829393	252.65544588184153	1.280364985074597	3.4541030045556604E-6	3.4541030045556612E-6	-19532.30957107046	0.0	-961.0750507332302
35000	-20404.023583691305	-983.0081224022822	-19421.015461289022	530.8133266292359	2006.510851762004	6411.901703181673	302.884426365633	1.2216215732785267	3.71404506448279E-6	3.714045064482789E-6	-19421.015461289022	0.0	-985.786272625855
