"","Tip1","Tip2","TimeDiff","gens","snpsPerGen","snpDist"
"192","40780_2254.46224206859","45604_2425.25238992723",1274.9426476804,33,0.272727272727273,9
"193","40780_2254.46224206859","43280_2346.1634623787",1195.8537201319,49,0.142857142857143,7
"194","40780_2254.46224206859","41771_2289.80081328725",1139.4910710404,39,0.179487179487179,7
"195","40780_2254.46224206859","42143_2304.9903829258",1154.680640679,45,0.2,9
"196","40780_2254.46224206859","42163_2305.79891868687",1155.4891764401,49,0.142857142857143,7
"197","40780_2254.46224206859","42162_2305.79891868687",1155.4891764401,39,0.179487179487179,7
"198","40780_2254.46224206859","39852_2219.62724842252",1069.3175061757,36,0.194444444444444,7
"199","40780_2254.46224206859","35789_2065.87303263965",915.5632903928,43,0.13953488372093,6
"200","40780_2254.46224206859","44544_2390.48370015721",1240.1739579101,43,0.186046511627907,8
"201","40780_2254.46224206859","44546_2390.48370015721",1240.1739579101,41,0.195121951219512,8
"202","40780_2254.46224206859","44335_2383.47766728074",1233.1679250337,42,0.190476190476191,8
"203","40780_2254.46224206859","43291_2346.78846027731",1196.4787180303,47,0.170212765957447,8
"204","40780_2254.46224206859","42455_2316.97176740124",1166.6620251542,37,0.216216216216216,8
"205","40780_2254.46224206859","43889_2367.36686420819",1217.0571219611,51,0.156862745098039,8
"206","40780_2254.46224206859","44228_2379.29951101605",1228.989768769,62,0.129032258064516,8
"207","40780_2254.46224206859","43058_2338.55483596806",1188.245093721,49,0.183673469387755,9
"208","40780_2254.46224206859","47644_2489.20119467866",1338.8914524317,59,0.152542372881356,9
"209","40780_2254.46224206859","47111_2471.63675522313",1321.3270129761,55,0.145454545454546,8
"210","40780_2254.46224206859","46364_2448.42950579759",1298.1197635506,46,0.173913043478261,8
"211","40780_2254.46224206859","47108_2471.63675522313",1321.3270129761,52,0.153846153846154,8
"212","40780_2254.46224206859","47113_2471.63675522313",1321.3270129761,54,0.166666666666667,9
"213","40780_2254.46224206859","41476_2279.10998056597",1128.8002383189,45,0.177777777777778,8
"214","40780_2254.46224206859","39343_2199.24244598974",1048.9327037427,38,0.210526315789474,8
"215","40780_2254.46224206859","40347_2236.98807109603",1086.678328849,42,0.190476190476191,8
"216","40780_2254.46224206859","39340_2199.24244598974",1048.9327037428,44,0.204545454545455,9
"217","40780_2254.46224206859","39688_2212.81812190804",1062.5083796611,41,0.219512195121951,9
"218","40780_2254.46224206859","39346_2199.24244598974",1048.9327037428,46,0.173913043478261,8
"219","40780_2254.46224206859","35937_2072.09263267937",921.7828904325,38,0.210526315789474,8
"220","40780_2254.46224206859","37392_2126.20321831696",975.8934760702,56,0.107142857142857,6
"221","40780_2254.46224206859","37393_2126.20321831696",975.8934760702,40,0.15,6
"222","40780_2254.46224206859","38584_2173.277411568",1022.9676693212,44,0.136363636363636,6
"223","40780_2254.46224206859","35530_2056.7632807308",906.453538484,44,0.113636363636364,5
"224","40780_2254.46224206859","35529_2056.7632807308",906.453538484,39,0.153846153846154,6
"225","40780_2254.46224206859","36711_2101.70543396644",951.3956917196,32,0.15625,5
"226","40780_2254.46224206859","36217_2083.62841170485",933.318669458,36,0.138888888888889,5
"227","40780_2254.46224206859","35531_2056.7632807308",906.453538484,33,0.151515151515152,5
"228","40780_2254.46224206859","35787_2065.87303263965",915.5632903929,38,0.131578947368421,5
"229","40780_2254.46224206859","42103_2303.7112410955",2699.3026829022,94,0.223404255319149,21
"230","40780_2254.46224206859","41498_2280.04160380687",2675.6330456135,101,0.207920792079208,21
"231","40780_2254.46224206859","43555_2354.88403658012",2750.4754783868,94,0.223404255319149,21
"232","40780_2254.46224206859","36026_2075.94899467376",2471.5404364805,103,0.194174757281554,20
"233","40780_2254.46224206859","36882_2107.24177621803",2502.8332180247,101,0.198019801980198,20
"234","40780_2254.46224206859","36439_2091.85071599794",2487.4421578046,97,0.216494845360825,21
"235","40780_2254.46224206859","36728_2102.04923644611",2497.6406782528,80,0.2625,21
"236","40780_2254.46224206859","40019_2226.10570712281",2621.6971489295,111,0.198198198198198,22
"237","40780_2254.46224206859","37970_2149.68619505974",2545.2776368664,83,0.27710843373494,23
"238","40780_2254.46224206859","41095_2266.45767172445",2662.0491135312,97,0.22680412371134,22
"239","40780_2254.46224206859","41096_2266.45767172445",2662.0491135312,93,0.24731182795699,23
"240","40780_2254.46224206859","44713_2396.79301540148",2792.3844572083,109,0.201834862385321,22
"241","40780_2254.46224206859","43996_2370.85336373828",2766.4448055451,121,0.181818181818181,22
"242","40780_2254.46224206859","43994_2370.85336373828",2766.4448055451,102,0.215686274509804,22
"243","40780_2254.46224206859","47723_2492.28380199475",2887.8752438015,106,0.226415094339623,24
"244","40780_2254.46224206859","47724_2492.28380199475",2887.8752438015,99,0.242424242424242,24
"245","40780_2254.46224206859","45599_2425.09506708441",2820.6865088912,103,0.223300970873787,23
"246","40780_2254.46224206859","44106_2374.91279709141",2770.5042388981,98,0.234693877551021,23
"247","40780_2254.46224206859","45817_2431.51846715188",2827.1099089586,100,0.22,22
"248","40780_2254.46224206859","45815_2431.51846715188",2827.1099089586,103,0.223300970873787,23
"249","40780_2254.46224206859","46607_2455.44101855233",2851.0324603591,119,0.176470588235294,21
"250","40780_2254.46224206859","48810_2530.75673049293",2926.3481722997,104,0.201923076923077,21
"251","40780_2254.46224206859","48690_2526.53578372218",2922.127225529,94,0.234042553191489,22
"252","40780_2254.46224206859","44931_2404.55929688333",2800.1507386901,99,0.212121212121212,21
"253","40780_2254.46224206859","43954_2368.75089013618",2764.342331943,109,0.192660550458716,21
"254","40780_2254.46224206859","43951_2368.75089013618",2764.342331943,96,0.21875,21
"255","40780_2254.46224206859","41940_2297.50357621117",2693.0950180179,107,0.196261682242991,21
"256","40780_2254.46224206859","40532_2244.4832274051",2640.0746692118,117,0.179487179487179,21
"257","40780_2254.46224206859","40531_2244.4832274051",2640.0746692118,95,0.221052631578947,21
"258","40780_2254.46224206859","40436_2240.84497640335",2636.43641821,95,0.221052631578947,21
"259","40780_2254.46224206859","39653_2210.85637664459",2606.4478184513,101,0.207920792079208,21
"260","40780_2254.46224206859","39295_2198.16290841124",2593.754350218,88,0.238636363636364,21
"261","40780_2254.46224206859","45801_2431.06622732369",2826.6576691302,100,0.25,25
"262","40780_2254.46224206859","46037_2438.36063471563",2833.9520765221,104,0.25,26
"263","40780_2254.46224206859","43755_2361.69608255742",2757.2875243639,100,0.23,23
"264","40780_2254.46224206859","44154_2376.33784496519",2771.9292867717,103,0.223300970873787,23
"265","40780_2254.46224206859","41218_2269.90886208745",2665.500303894,106,0.188679245283019,20
"266","40780_2254.46224206859","47334_2478.68293751785",2874.2743793244,100,0.21,21
"267","40780_2254.46224206859","42991_2336.10560945246",2731.697051259,110,0.181818181818182,20
"268","40780_2254.46224206859","42569_2320.24375654438",2715.8351983509,104,0.192307692307693,20
"269","40780_2254.46224206859","42570_2320.24375654438",2715.8351983509,107,0.186915887850468,20
"270","40780_2254.46224206859","43949_2368.66198259052",2764.253424397,90,0.233333333333333,21
"271","40780_2254.46224206859","46665_2456.73826328477",2852.3297050913,104,0.211538461538461,22
"272","40780_2254.46224206859","43192_2343.14976996448",2738.741211771,109,0.18348623853211,20
"273","40780_2254.46224206859","43193_2343.14976996448",2738.741211771,108,0.185185185185186,20
"274","40780_2254.46224206859","43191_2343.14976996448",2738.741211771,96,0.208333333333334,20
"275","40780_2254.46224206859","41222_2269.90886208745",2665.500303894,94,0.212765957446809,20
"276","40780_2254.46224206859","43184_2342.93245632508",2738.5238981317,100,0.22,22
"277","40780_2254.46224206859","40345_2236.69700594086",2632.2884477475,111,0.180180180180181,20
"278","40780_2254.46224206859","40208_2232.66125553425",2628.2526973409,112,0.1875,21
"279","40780_2254.46224206859","37892_2145.96208038664",2541.5535221933,97,0.20618556701031,20
"280","40780_2254.46224206859","37453_2128.82753321557",2524.4189750223,95,0.2,19
"281","40780_2254.46224206859","47226_2475.266893833",2870.8583356398,107,0.130841121495327,14
"282","40780_2254.46224206859","47605_2487.85348508782",2883.4449268946,115,0.121739130434783,14
"283","40780_2254.46224206859","47612_2488.11682046354",2883.7082622703,107,0.130841121495327,14
"284","40780_2254.46224206859","46416_2449.51241740139",2845.1038592081,106,0.132075471698114,14
"285","40780_2254.46224206859","46269_2444.76903027884",2840.3604720856,118,0.127118644067797,15
"286","40780_2254.46224206859","45338_2417.23587598812",2812.8273177949,123,0.113821138211382,14
"287","40780_2254.46224206859","45343_2417.23587598812",2812.8273177949,109,0.128440366972477,14
"288","40780_2254.46224206859","48770_2528.3664485051",2923.9578903117,111,0.144144144144144,16
"289","40780_2254.46224206859","48363_2515.1632500332",2910.7546918398,109,0.137614678899083,15
"290","40780_2254.46224206859","48916_2534.09349845077",2929.6849402574,112,0.142857142857143,16
"291","40780_2254.46224206859","47488_2483.65083788571",2879.2422796924,114,0.131578947368421,15
"292","40780_2254.46224206859","38176_2157.31813883107",2552.9095806378,95,0.147368421052632,14
"293","40780_2254.46224206859","37084_2114.73477455809",2510.3262163648,89,0.146067415730337,13
"294","40780_2254.46224206859","36979_2110.44817844374",2506.0396202505,82,0.158536585365853,13
"295","40780_2254.46224206859","37637_2136.3261276279",2531.9175694347,91,0.142857142857142,13
"296","40780_2254.46224206859","35290_2045.43035674398",2441.0217985508,104,0.134615384615385,14
"297","40780_2254.46224206859","35611_2059.90111965301",2455.4925614598,103,0.135922330097088,14
"298","39043_2190.17771623257","39044_2190.17771623257",104.2670154388,6,0.166666666666667,1
"299","39043_2190.17771623257","37157_2117.43061600396",101.5543728151,2,0,0
"300","39043_2190.17771623257","36775_2103.7232006158",169.8960581149,10,0.2,2
"301","39043_2190.17771623257","37899_2146.17293943746",212.3457969366,10,0.2,2
