"","Tip1","Tip2","TimeDiff","gens","snpsPerGen","snpDist"
"175","37942_2148.91084162002","43950_2368.66198259052",1612.2229115811,53,0.169811320754717,9
"176","37942_2148.91084162002","43193_2343.14976996448",1586.7106989551,58,0.155172413793103,9
"177","37942_2148.91084162002","42991_2336.10560945246",1579.666538443,54,0.166666666666667,9
"178","37942_2148.91084162002","43116_2340.08602604707",1583.6469550376,57,0.157894736842105,9
"179","37942_2148.91084162002","42217_2308.08919594823",1551.6501249387,58,0.155172413793103,9
"180","37942_2148.91084162002","41641_2285.04920865465",1528.6101376452,44,0.204545454545455,9
"181","37942_2148.91084162002","38620_2174.61463936514",1418.1755683557,42,0.166666666666667,7
"182","37942_2148.91084162002","43445_2351.74306647746",1595.303995468,50,0.2,10
"183","37942_2148.91084162002","39859_2220.04467900904",1463.6056079996,58,0.172413793103448,10
"184","37942_2148.91084162002","38122_2155.61645603416",1399.1773850246,55,0.127272727272727,7
"185","37942_2148.91084162002","38277_2161.25976153545",1404.820690526,62,0.0806451612903226,5
"186","37942_2148.91084162002","38352_2163.6902682223",1407.2511972128,55,0.127272727272727,7
"187","37942_2148.91084162002","36101_2078.84475912493",1322.4056881155,47,0.127659574468085,6
"188","37942_2148.91084162002","35675_2061.93937182151",1305.500300812,59,0.101694915254237,6
"189","37942_2148.91084162002","41325_2274.03331569595",1517.5942446864,63,0.111111111111111,7
"190","37942_2148.91084162002","41940_2297.50357621117",1541.0645052016,54,0.12962962962963,7
"191","37942_2148.91084162002","44931_2404.55929688333",1648.1202258738,62,0.145161290322581,9
"192","37942_2148.91084162002","44754_2398.27104554005",1641.8319745306,66,0.136363636363636,9
"193","37942_2148.91084162002","44690_2395.81697481177",1639.3779038023,79,0.10126582278481,8
"194","37942_2148.91084162002","47037_2469.28734715862",1712.8482761491,66,0.136363636363636,9
"195","37942_2148.91084162002","44107_2374.91279709141",1618.4737260819,62,0.112903225806452,7
"196","37942_2148.91084162002","44937_2404.90322494007",1648.4641539305,74,0.0945945945945946,7
"197","37942_2148.91084162002","47854_2497.07974587354",1740.640674864,75,0.0933333333333334,7
"198","37942_2148.91084162002","47723_2492.28380199475",1735.8447309852,74,0.0945945945945946,7
"199","37942_2148.91084162002","45602_2425.09506708441",1668.6559960749,75,0.0933333333333334,7
"200","37942_2148.91084162002","45599_2425.09506708441",1668.6559960749,60,0.116666666666667,7
"201","37942_2148.91084162002","40751_2253.56592848062",1497.1268574711,62,0.112903225806452,7
"202","37942_2148.91084162002","48995_2536.93585007998",1780.4967790705,68,0.147058823529412,10
"203","37942_2148.91084162002","47174_2473.49258850495",1717.0535174954,67,0.119402985074627,8
"204","37942_2148.91084162002","46606_2455.44101855233",1699.0019475428,62,0.112903225806452,7
"205","37942_2148.91084162002","43778_2362.66318521894",1606.2241142094,63,0.111111111111111,7
"206","37942_2148.91084162002","42370_2314.13660881752",1557.697537808,57,0.12280701754386,7
"207","37942_2148.91084162002","42623_2322.00764249827",1565.5685714887,49,0.163265306122449,8
"208","37942_2148.91084162002","42890_2332.28347972",1575.8444087104,56,0.125,7
"209","37942_2148.91084162002","40531_2244.4832274051",1488.0441563955,50,0.12,6
"210","37942_2148.91084162002","39295_2198.16290841124",1441.7238374016,51,0.117647058823529,6
"211","37942_2148.91084162002","39015_2189.07847807601",1432.6394070664,51,0.117647058823529,6
"212","37942_2148.91084162002","37760_2140.53143237702",1384.0923613674,47,0.127659574468085,6
"213","37942_2148.91084162002","37870_2145.2321480175",1388.793077008,56,0.142857142857143,8
"214","37942_2148.91084162002","40019_2226.10570712281",1469.6666361133,54,0.148148148148148,8
"215","37942_2148.91084162002","35965_2073.07478728074",1316.6357162712,46,0.130434782608696,6
"216","37942_2148.91084162002","44704_2396.7082271794",2901.7174115232,112,0.116071428571429,13
"217","37942_2148.91084162002","44111_2374.96035559624",2879.9695399401,91,0.131868131868132,12
"218","37942_2148.91084162002","45665_2427.10117852306",2932.1103628669,99,0.121212121212121,12
"219","37942_2148.91084162002","45132_2410.40712278005",2915.4163071239,125,0.096,12
"220","37942_2148.91084162002","45608_2425.2800804456",2930.2892647894,126,0.0952380952380952,12
"221","37942_2148.91084162002","46989_2468.17152698057",2973.1807113244,128,0.09375,12
"222","37942_2148.91084162002","47547_2485.4522988203",2990.4614831641,133,0.0977443609022556,13
"223","37942_2148.91084162002","46338_2447.38858936824",2952.3977737121,132,0.0909090909090909,12
"224","37942_2148.91084162002","47523_2484.98526624003",2989.9944505838,111,0.108108108108108,12
"225","37942_2148.91084162002","47546_2485.4522988203",2990.4614831641,107,0.11214953271028,12
"226","37942_2148.91084162002","46995_2468.17152698057",2973.1807113244,106,0.113207547169811,12
"227","37942_2148.91084162002","47204_2474.40401196059",2979.4131963044,126,0.0952380952380952,12
"228","37942_2148.91084162002","47995_2501.7550794017",3006.7642637455,97,0.123711340206186,12
"229","37942_2148.91084162002","46670_2456.99141219886",2962.0005965427,105,0.114285714285714,12
"230","37942_2148.91084162002","48081_2504.7305655308",3009.7397498746,111,0.117117117117117,13
"231","37942_2148.91084162002","49002_2537.32417839124",3042.3333627351,129,0.10077519379845,13
"232","37942_2148.91084162002","47615_2488.20977070541",2993.2189550492,116,0.103448275862069,12
"233","37942_2148.91084162002","45336_2417.03284824881",2922.0420325927,99,0.121212121212121,12
"234","37942_2148.91084162002","47994_2501.7550794017",3006.7642637455,111,0.126126126126126,14
"235","37942_2148.91084162002","41900_2295.34183670173",2800.3510210455,96,0.125,12
"236","37942_2148.91084162002","40797_2254.99157512844",2760.0007594723,113,0.106194690265487,12
"237","37942_2148.91084162002","41765_2289.53335444437",2794.5425387882,103,0.116504854368932,12
