# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Nov 08 13:37:27 GMT 2022 [seed=1667914636879]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
19000	-22106.215081732636	-622.5888733975853	-21483.626208335052	2464.9234140961726	-46.255186951252654	10403.129245611162	231.10164091408203	0.9052131351472836	3.999502845686914E-6	3.999502845686912E-6	-21483.626208335052	0.0	-625.942239680234
20000	-22105.378712546735	-631.5517528280295	-21473.826959718706	2493.4463841263805	-74.7781569814606	10902.095220882416	214.8561390532189	1.0467116250987363	3.3980881150082144E-6	3.398088115008216E-6	-21473.826959718706	0.0	-635.0376925711016
21000	-22102.203751024892	-634.1776992193071	-21468.026051805584	2528.210911770143	-109.54268462522305	11076.07695015816	207.71618300875912	1.2351347613108579	3.5671491463494374E-6	3.56714914634944E-6	-21468.026051805584	0.0	-637.6054169875042
22000	-22067.27275694933	-635.8426479392407	-21431.43010901009	2447.593746405588	-28.925519260667897	11154.889054884105	221.8071213292441	0.836521034904165	3.573952978235167E-6	3.5739529782351638E-6	-21431.43010901009	0.0	-639.3513263787656
23000	-22049.831126444646	-651.3742236550811	-21398.456902789563	2459.9681090705503	-41.299881925630416	11897.344198270092	294.05696696257684	0.7719370594202394	3.322114979186782E-6	3.322114979186782E-6	-21398.456902789563	0.0	-654.6877138515788
24000	-22047.735860737706	-656.3578018863319	-21391.378058851373	2432.45829576507	-13.790068620150123	12099.711528933887	268.40935549692944	1.0240689490491015	3.4056882457152345E-6	3.4056882457152315E-6	-21391.378058851373	0.0	-659.6763907496374
25000	-22051.38878730503	-657.8254113262408	-21393.56337597879	2418.152225236891	0.5160019080290112	12224.91425398782	282.0529274997323	0.944739058455757	3.226413251845134E-6	3.2264132518451365E-6	-21393.56337597879	0.0	-661.1565429852062
26000	-21977.210682959107	-662.3789734299686	-21314.83170952914	2430.532869504927	-11.86464236000711	12446.353085749786	317.88439778151576	0.9787633501762644	3.1741617139717034E-6	3.1741617139717018E-6	-21314.83170952914	0.0	-665.5957369351073
27000	-21978.278333514503	-658.0764451146913	-21320.201888399813	2489.4584391664766	-70.79021202155673	12305.353655069122	293.0301264878792	1.0489453386512373	3.1314465557662076E-6	3.1314465557662067E-6	-21320.201888399813	0.0	-661.3511583319859
28000	-21902.57301789637	-659.5852346953698	-21242.987783201002	2454.2997748444727	-35.63154769955281	12385.643744744173	313.90396337486493	1.0396311828547977	3.061151316426264E-6	3.0611513164262647E-6	-21242.987783201002	0.0	-662.8098174920549
29000	-21898.682444476948	-665.2809935146345	-21233.401450962312	2439.2331240655612	-20.56489692064133	12657.635205237822	345.30700149009976	1.170735003819632	2.962082785386101E-6	2.962082785386104E-6	-21233.401450962312	0.0	-668.3877378120642
30000	-21895.946571827662	-674.0976195335539	-21221.84895229411	2449.6441351733574	-30.975908028437516	13252.807664849166	354.5101383263946	0.8735713173457678	2.999204580394678E-6	2.9992045803946793E-6	-21221.84895229411	0.0	-677.3000650304358
31000	-21913.44313358771	-677.5250554790928	-21235.918078108618	2488.296651303922	-69.62842415900195	13553.488056547501	335.1714986662513	0.9775189443867964	2.766057509453997E-6	2.766057509453997E-6	-21235.918078108618	0.0	-680.8027398598133
32000	-21911.288938036014	-687.8031488760565	-21223.485789159957	2486.4107276755462	-67.74250053062633	14175.14533504047	438.35491282979194	1.0028614004266152	2.689626053608828E-6	2.6896260536088265E-6	-21223.485789159957	0.0	-690.8391927616465
33000	-21892.602059310182	-675.4683378127293	-21217.133721497452	2440.904914284365	-22.236687139445166	13107.282325502836	361.520648532474	1.122081080326846	2.8285292305337384E-6	2.8285292305337363E-6	-21217.133721497452	0.0	-678.5891235110822
34000	-21884.05223623675	-687.3593305680496	-21196.6929056687	2421.3832085960994	-2.714981451179483	13859.107060729808	356.78714784305794	1.2737471698472005	2.6994346288766784E-6	2.69943462887668E-6	-21196.6929056687	0.0	-690.4840739590243
35000	-21889.7316223375	-692.0809919507941	-21197.650630386703	2460.9943899749946	-42.326162830074736	14328.893445422762	430.17220145542314	0.9851237940711361	2.60153816982133E-6	2.6015381698213313E-6	-21197.650630386703	0.0	-695.1651264377501
36000	-21803.187185256073	-700.3862294684369	-21102.800955787636	2408.659979575854	10.008247569066043	14786.525236264079	458.29926384988397	1.019035728355022	2.603810847183182E-6	2.603810847183185E-6	-21102.800955787636	0.0	-703.4088595336281
37000	-21798.417068393053	-700.4789467701413	-21097.938121622912	2402.8877121408395	15.780515004080371	14768.085163321419	383.4620201837438	0.8748617572807855	2.5666644135824553E-6	2.566664413582455E-6	-21097.938121622912	0.0	-703.7363268717213
38000	-21785.417866074997	-721.8873187002935	-21063.530547374703	2411.0249962202356	7.643230924684303	16262.4616879155	475.3976324582198	1.256483663142142	2.2986676756490562E-6	2.2986676756490562E-6	-21063.530547374703	0.0	-724.8923605964069
39000	-21767.84116461891	-724.7264638659485	-21043.11470075296	2394.7156751355474	23.95255200937254	16464.250956439482	573.4470657852883	1.0574544301497193	2.0577924414385797E-6	2.0577924414385797E-6	-21043.11470075296	0.0	-727.6867730307675
40000	-21775.524903918013	-733.671870185472	-21041.85303373254	2397.4927207964374	21.175506348482486	17039.141466579225	533.1676780388602	1.1921239653523807	2.0195077276935676E-6	2.019507727693568E-6	-21041.85303373254	0.0	-736.6789912776877
41000	-21773.70130414009	-738.1835554638626	-21035.517748676226	2416.8125097953916	1.8557173495282768	17565.03499668827	729.2894750990018	1.0315261934278543	2.2496949181491517E-6	2.2496949181491517E-6	-21035.517748676226	0.0	-740.8952299741303
42000	-21754.320071602524	-745.1920419744033	-21009.128029628122	2410.480993465861	8.187233679058863	18026.143478769267	719.0288584410299	1.0446565313206302	2.0795281561942118E-6	2.07952815619421E-6	-21009.128029628122	0.0	-747.9673430438522
43000	-21679.755744725728	-738.1199031412716	-20941.635841584455	2389.292579548751	29.375647596169074	17269.414158999854	755.757972424966	1.1439480070154573	2.1003637038934592E-6	2.100363703893458E-6	-20941.635841584455	0.0	-740.7823066358138
44000	-21628.04669111799	-738.0141317746286	-20890.032559343363	2389.293483820988	29.374743323931853	17416.52630580939	635.3303478712097	0.9723458780021847	2.133889065122719E-6	2.13388906512272E-6	-20890.032559343363	0.0	-740.909588389198
45000	-21640.71807355622	-739.8556389770406	-20900.86243457918	2390.3146882117107	28.353538933209165	17481.809551544495	624.4800470954224	0.979496086487619	1.835669137348902E-6	1.835669137348904E-6	-20900.86243457918	0.0	-742.8480113709946
46000	-21635.460758791956	-737.4521311486882	-20898.008627643267	2388.520615176746	30.147611968173806	17368.39926823961	710.4824459230363	0.9485813406753725	1.8778689125242648E-6	1.8778689125242657E-6	-20898.008627643267	0.0	-740.311126534842
47000	-21640.61441618326	-752.2251377445626	-20888.3892784387	2392.4221693691197	26.246057775800182	18330.1320934667	637.9837931298187	1.083765655737697	1.7734700465001222E-6	1.7734700465001198E-6	-20888.3892784387	0.0	-755.1982772089232
48000	-21631.318728095834	-757.6954735634968	-20873.623254532336	2412.7549383854516	5.913288759468287	18799.7916548672	862.3767760545122	1.0119465578288938	1.8823163230653348E-6	1.8823163230653363E-6	-20873.623254532336	0.0	-760.3739309659363
49000	-21622.26543692355	-757.4355518315598	-20864.82988509199	2444.1888112059687	-25.520584061048794	18980.953406564444	743.5063231043256	0.8968250459597984	1.7890984971448156E-6	1.7890984971448148E-6	-20864.82988509199	0.0	-760.3336711891599
50000	-21629.977338002205	-759.9513918944755	-20870.02594610773	2455.3343906635664	-36.6661635186465	19326.280766347685	786.6807766561833	1.1347754171609994	1.8751950493459158E-6	1.8751950493459166E-6	-20870.02594610773	0.0	-762.6902593338297
51000	-21603.600065771454	-761.387252550386	-20842.212813221067	2502.8043284366363	-84.13610129171639	19611.572640548202	775.8818520447618	1.0959448212126983	1.6101248244113678E-6	1.6101248244113684E-6	-20842.212813221067	0.0	-764.2430971388696
52000	-21566.64658178606	-758.117406703348	-20808.52917508271	2470.992762118476	-52.32453497355618	19194.217057986378	778.4567220823127	0.8970897177998556	1.6910716705377805E-6	1.69107167053778E-6	-20808.52917508271	0.0	-761.0047654515918
53000	-21553.84519187903	-760.2283910505747	-20793.616800828455	2413.297913237638	5.370313907281798	19231.979112078243	895.9556303278081	1.0313515033014273	1.6520864067111693E-6	1.6520864067111698E-6	-20793.616800828455	0.0	-762.941762728362
54000	-21509.11296869806	-765.8788884893327	-20743.234080208727	2407.2489367591484	11.419290385771546	19859.58030664503	912.7470712293679	0.9880932435024822	1.7718442888483379E-6	1.7718442888483402E-6	-20743.234080208727	0.0	-768.567026502603
55000	-21507.57940322114	-765.9628167666158	-20741.616586454526	2407.288933620784	11.379293524135846	19826.083633706497	948.1662608840338	1.086009792775201	1.6973873267777616E-6	1.6973873267777626E-6	-20741.616586454526	0.0	-768.5988921322648
56000	-21508.131578030047	-769.9294291192106	-20738.202148910837	2418.7510691200964	-0.08284197517650682	20269.04469381994	810.739152700396	1.0775670532584691	1.7672999664773032E-6	1.7672999664773023E-6	-20738.202148910837	0.0	-772.7139881255465
57000	-21513.26578523777	-780.0394337336181	-20733.226351504152	2416.9288734867246	1.7393536581953413	21244.912496685753	952.5802956209798	1.155910266135668	1.6869201648839979E-6	1.686920164883997E-6	-20733.226351504152	0.0	-782.6793358830276
58000	-21521.103984108126	-784.6013520091508	-20736.502632098975	2391.449733927501	27.21849321741911	21654.710227066756	1049.7440632084827	1.0216493398778979	1.5821094673476073E-6	1.5821094673476092E-6	-20736.502632098975	0.0	-787.2383506855035
59000	-21503.91126791027	-783.9885877229992	-20719.92268018727	2396.9719866716237	21.696240473296257	21602.776809718438	1068.4031062319732	1.1622978808875026	1.441478788532351E-6	1.4414787885323498E-6	-20719.92268018727	0.0	-786.6029074658867
60000	-21518.50779255175	-795.6345801140694	-20722.87321243768	2396.260210183161	22.40801696175913	22849.231677880867	1258.6737904887834	1.016175824311103	1.3846405573789254E-6	1.3846405573789262E-6	-20722.87321243768	0.0	-798.1881934936368
61000	-21452.547188132776	-798.0749027837878	-20654.472285348987	2404.011000471199	14.657226673720743	23078.83891738757	1313.0998699233517	1.1775972985099512	1.3915563106403053E-6	1.3915563106403061E-6	-20654.472285348987	0.0	-800.5266706693648
62000	-21445.188880240217	-803.5515630885012	-20641.637317151715	2437.6807504758663	-19.01252333094635	23921.3464081082	1271.20384500152	0.9127776836928351	1.372155973988279E-6	1.3721559739882778E-6	-20641.637317151715	0.0	-806.157588925029
63000	-21442.947927417386	-809.5760503801475	-20633.37187703724	2594.0657368287143	-175.3975096837944	24676.88298347839	1154.3999021845718	0.91853312269386	1.240745676834633E-6	1.2407456768346325E-6	-20633.37187703724	0.0	-812.3446408506628
64000	-21433.6981618587	-808.850801391414	-20624.847360467287	2451.6579978871437	-32.989770742223754	24597.337915184744	1437.4814227330378	0.9629310918537594	1.305725681291956E-6	1.305725681291955E-6	-20624.847360467287	0.0	-811.3563035336102
65000	-21426.17459804189	-808.9244166445649	-20617.250181397325	2447.4877828660233	-28.81955572110337	24718.973342542362	1230.7178529504708	1.0078369415941137	1.3617434816398818E-6	1.3617434816398833E-6	-20617.250181397325	0.0	-811.5491615593099
66000	-21410.36761183751	-817.2453263017699	-20593.12228553574	2490.547411514715	-71.87918436979498	25800.936964823115	1417.3667639961927	1.0493364162497618	1.321493347168691E-6	1.3214933471686928E-6	-20593.12228553574	0.0	-819.7496055683466
67000	-21385.811588034532	-834.8108878690858	-20551.000700165445	2438.425484761139	-19.75725761621925	27581.91265524283	2029.0529416603058	0.9984155258984437	1.2171161019000168E-6	1.2171161019000164E-6	-20551.000700165445	0.0	-837.0500870014291
68000	-21325.425300128547	-829.5787526848653	-20495.84654744368	2434.979941304312	-16.311714159392068	27050.773365829515	1834.188235025345	0.9067725681146172	1.2152776702947132E-6	1.2152776702947145E-6	-20495.84654744368	0.0	-831.9422447644558
69000	-21228.238771105847	-824.5822342110658	-20403.65653689478	2439.7450048687015	-21.07677772378156	26758.550816139566	1681.6112016053726	0.8265874329432226	1.0978337314491635E-6	1.0978337314491635E-6	-20403.65653689478	0.0	-827.106248704245
70000	-21234.926365297288	-831.7211141228797	-20403.205251174408	2433.299304883156	-14.631077738235945	27315.92095199795	2053.7184246148636	0.996226931517278	1.0356179064839601E-6	1.0356179064839601E-6	-20403.205251174408	0.0	-834.0301958919364
71000	-21181.041512990152	-835.0917084757895	-20345.949804514363	2438.4979701504103	-19.8297430054904	28170.48813425005	1720.8435038187254	0.996226931517278	1.1082378428542946E-6	1.1082378428542936E-6	-20345.949804514363	0.0	-837.5562130503544
72000	-21182.732693193295	-832.0796767864709	-20350.653016406824	2434.6040761300337	-15.935848985113807	27607.781870240957	1555.9191134589864	0.8798765993965365	1.0820132386155324E-6	1.0820132386155341E-6	-20350.653016406824	0.0	-834.6876358879084
73000	-21184.285341798466	-839.4490830321378	-20344.83625876633	2434.718757809906	-16.050530664986127	28290.106748343063	1410.989682625206	1.073313161963021	1.068664176630315E-6	1.0686641766303154E-6	-20344.83625876633	0.0	-842.104969128944
74000	-21155.173173208965	-836.5063086585185	-20318.666864550447	2441.924598298745	-23.256371153825057	28125.75051432555	1593.8668332975203	1.1079409637927085	1.025315707838814E-6	1.025315707838814E-6	-20318.666864550447	0.0	-839.0463175418624
75000	-21153.8229542848	-836.9747866934774	-20316.84816759132	2442.107846220685	-23.439619075765222	28242.92909511652	1806.390632941181	1.0060630927497982	1.0420907980522558E-6	1.0420907980522562E-6	-20316.84816759132	0.0	-839.4210740899431
76000	-21155.870196673623	-838.923926312638	-20316.946270360986	2448.9785727992626	-30.310345654342655	28690.44122443873	1755.4576395902968	1.1391799257138584	1.1163304855512606E-6	1.1163304855512604E-6	-20316.946270360986	0.0	-841.3195130318904
77000	-21159.181287151598	-840.7045504547657	-20318.476736696834	2456.2105775917366	-37.54235044681673	28889.210082449263	1937.206467537123	0.9043656103185577	9.93640331950532E-7	9.936403319505317E-7	-20318.476736696834	0.0	-843.1519069827002
78000	-21167.79580444262	-846.9935451435202	-20320.8022592991	2459.427691530627	-40.759464385706906	29557.018734137382	2177.69052312174	1.075743378319192	1.1016181762811125E-6	1.1016181762811131E-6	-20320.8022592991	0.0	-849.2189306831693
79000	-21174.33604018689	-840.0999469824138	-20334.236093204476	2464.889830819887	-46.2216036749669	28760.061357570015	1946.5243923076039	1.1067627707545393	1.1131650157795194E-6	1.1131650157795179E-6	-20334.236093204476	0.0	-842.407396712866
80000	-21165.24069733056	-837.4892644014948	-20327.751432929064	2465.4418623660104	-46.773635221090444	28643.660024833873	1702.5899933530025	0.9316202787283872	1.0977237538155472E-6	1.0977237538155476E-6	-20327.751432929064	0.0	-839.9998416611026
81000	-21157.125482857977	-836.1148492643699	-20321.010633593607	2459.943059107353	-41.27483196243293	28393.707485608822	1798.328066278076	1.2023239540840915	1.0532188907637894E-6	1.0532188907637896E-6	-20321.010633593607	0.0	-838.4874795434256
82000	-21136.992921867208	-829.968453825895	-20307.024468041313	2469.1906360439702	-50.52240889905033	27583.051266799448	1528.2633016325428	1.0270346923592402	1.138333590486966E-6	1.1383335904869665E-6	-20307.024468041313	0.0	-832.5163407993243
83000	-21149.88904581057	-836.9633074658581	-20312.92573834471	2519.1201505582108	-100.45192341329084	28566.69135032905	1881.9840226181846	1.008605425981103	9.867224431643712E-7	9.867224431643718E-7	-20312.92573834471	0.0	-839.4019198827575
84000	-21140.432276172683	-844.2308441434768	-20296.201432029207	2530.8650453674923	-112.19681822257235	29690.155096661685	2045.5269166357066	1.0909743539613226	9.773679111335167E-7	9.773679111335154E-7	-20296.201432029207	0.0	-846.5786832745954
85000	-21070.948513786363	-845.0907423184366	-20225.857771467927	2599.0797232823365	-180.41149613741663	29827.16405612132	1980.4942085615355	0.9148733312040764	9.817357857257668E-7	9.817357857257662E-7	-20225.857771467927	0.0	-847.5339665014927
86000	-21034.547971007967	-843.1382930220449	-20191.40967798592	2623.5086078155246	-204.84038067060465	29517.621863974167	2046.4498060501269	0.9274909129177256	1.0328643738359613E-6	1.0328643738359605E-6	-20191.40967798592	0.0	-845.5127401465429
87000	-21034.52314567362	-840.8686783534489	-20193.654467320168	2521.320077216351	-102.651850071431	29019.433293257604	1990.8068360275915	0.895847260203752	9.841541912484561E-7	9.841541912484557E-7	-20193.654467320168	0.0	-843.2987023312696
88000	-21035.592988560427	-842.4016523328434	-20193.191336227585	2497.441268512847	-78.77304136792691	29220.053263493213	1761.1853933588638	1.2339663335811992	1.0433632551899751E-6	1.0433632551899739E-6	-20193.191336227585	0.0	-844.800984100568
