"","x"
"119",0.177100780455446
"120",0.186816998699574
"121",0.17206008397436
"122",0.189907810365672
"123",0.169187581721215
"124",0.17925596956931
"125",0.170120369165656
"126",0.186249788065881
"127",0.163578913234178
"128",0.181115320216216
"129",0.170094421023372
"130",0.168164100261709
"131",0.192947159070068
"132",0.173606243955215
"133",0.19862747611135
"134",0.186281011284326
"135",0.166324856973212
"136",0.165190642563857
"137",0.153508817842069
"138",0.157780554742194
"139",0.139751900369561
"140",0.159006812971599
"141",0.139784041955559
"142",0.153899783060213
"143",0.147298672640483
"144",0.163867470018704
"145",0.160901218844062
"146",0.154052276197113
"147",0.153131609808124
"148",0.156098576280877
"149",0.148843615584364
"150",0.144966008034018
"151",0.145348758636261
"152",0.145582378291786
"153",0.184365319851487
"154",0.145746350032993
"155",0.158314937183909
"156",0.171658892178475
"157",0.160834229161224
"158",0.154127026122133
"159",0.172439047889886
"160",0.158561921639854
"161",0.151175587825982
"162",0.143202532052666
"163",0.16454000459822
"164",0.174954139916231
"165",0.161914412270865
"166",0.165134224612687
"167",0.164701830377136
"168",0.169965877215073
"169",0.152375468130833
"170",0.174456479051537
"171",0.172786953799249
"172",0.159565352290927
"173",0.161437106368668
"174",0.157437540094666
"175",0.153895586919157
"176",0.155636732671899
"177",0.147045874617268
"178",0.175007203595629
"179",0.176384808079867
"180",0.172975448866897
"181",0.166574700647236
"182",0.172307468886229
"183",0.174464183177322
"184",0.169134592212695
"185",0.172719704482557
"186",0.170521344992998
"187",0.203127179585402
"188",0.171847930345832
"189",0.163612647230113
"190",0.171061964609085
"191",0.192531542304617
"192",0.163013637764629
"193",0.175813677266165
"194",0.167079504514656
"195",0.173720264699123
"196",0.152242056054015
"197",0.16926136976805
"198",0.183798976427722
"199",0.166024625481127
"200",0.174314044677762
"201",0.156781482827605
"202",0.185275922396595
"203",0.153325589849837
"204",0.163993657055851
"205",0.164389229589239
"206",0.159347011455136
"207",0.161111591552913
"208",0.167534560649169
"209",0.164914827060172
"210",0.175342643141928
"211",0.166717145998585
"212",0.165799399123453
"213",0.16475354794975
"214",0.153482072053776
"215",0.160550716903087
"216",0.158700002550795
"217",0.159352016500921
"218",0.17101657145757
"219",0.170286545372089
"220",0.150954145650283
"221",0.155020316189216
"222",0.166366273897938
"223",0.155717632550004
"224",0.162487433215733
"225",0.163758461712675
"226",0.180447743779059
"227",0.171707487398439
"228",0.191852940859252
"229",0.175060141910098
"230",0.16492360451179
"231",0.159073824641068
"232",0.169544498426135
"233",0.166685590567721
"234",0.16944856376882
"235",0.171384206190365
"236",0.192039335894223
"237",0.171799985915309
"238",0.151013563078868
"239",0.174103302329262
"240",0.158064469302525
"241",0.183697433907737
"242",0.161104882653984
"243",0.158238095575054
"244",0.17102901592284
"245",0.173612209731014
"246",0.188474145619349
"247",0.169776063850201
"248",0.175479782215876
"249",0.167998279922723
"250",0.17432422511268
"251",0.17153265825449
"252",0.16593699817087
"253",0.160367386842646
"254",0.171913224074807
"255",0.178136861567972
"256",0.173750495231584
"257",0.177862172516268
"258",0.173573318202143
"259",0.157868020814989
"260",0.153789322614465
"261",0.175785016826662
"262",0.181125030268376
"263",0.168001019153684
"264",0.176893230458353
"265",0.175896720631518
"266",0.176336353025883
"267",0.168188801264727
"268",0.173538576243214
"269",0.174892867220098
"270",0.163302768184738
"271",0.168666509046884
"272",0.16610495214139
"273",0.160102322186946
"274",0.151394747099647
"275",0.168689060703411
"276",0.189562871219039
"277",0.166807695740885
"278",0.206522298726044
"279",0.172380529925574
"280",0.159675593423462
"281",0.174449938881009
"282",0.177352071334344
"283",0.179622997272875
"284",0.17164320276404
"285",0.179226974758505
"286",0.181948079137358
"287",0.153953267138555
"288",0.167169476248819
"289",0.164297366733392
"290",0.165625229690093
"291",0.181801798751164
"292",0.156126130418289
"293",0.165065032228444
"294",0.176716481309982
"295",0.175780229384665
"296",0.184498338931674
"297",0.180441937071235
"298",0.166234070044152
"299",0.190887940820172
"300",0.173744727662537
"301",0.163428794714159
"302",0.182490680020298
"303",0.214713398557825
"304",0.169268879672681
"305",0.18139134155545
"306",0.2014250339586
"307",0.177890201533614
"308",0.188482826768741
"309",0.203663014675522
"310",0.182350262333997
"311",0.195478018803191
"312",0.172753127630291
"313",0.173930339769474
"314",0.174274481615145
"315",0.184109172708314
"316",0.199042249255038
"317",0.165485634705866
"318",0.190566734851497
"319",0.161607691956117
"320",0.179192279978595
"321",0.156151517617944
"322",0.163446122797809
"323",0.168024375040798
"324",0.188059880234331
"325",0.180524551339258
"326",0.183874056791152
"327",0.207910431442577
"328",0.209556924218354
"329",0.222697811408669
"330",0.198855876648645
"331",0.216696363948931
"332",0.197383090311614
"333",0.19287853560333
"334",0.177985303075401
"335",0.193150347762631
"336",0.18656741078355
"337",0.198329142090048
"338",0.173752656526784
"339",0.18247064619892
"340",0.188639329981888
"341",0.19471303449302
"342",0.180874811991787
"343",0.180419628280157
"344",0.190350648176948
"345",0.187013037903275
"346",0.175600057886277
"347",0.207148269596726
"348",0.19951451256066
"349",0.176961304204222
"350",0.19327594814254
"351",0.175774087779615
"352",0.199936351121546
"353",0.167667506342638
"354",0.171188320354047
"355",0.178375444210629
"356",0.182013397123808
"357",0.185753716378019
"358",0.186875860473168
"359",0.167199526914833
"360",0.171615646552882
"361",0.17228669125901
"362",0.177570744346619
"363",0.186934024200417
"364",0.181355592155119
"365",0.188314549301683
"366",0.188448827016028
"367",0.161061742899462
"368",0.162021599032649
"369",0.136579067878528
"370",0.173857679657803
"371",0.165718701697381
"372",0.15356433171026
"373",0.179146188102935
"374",0.147947971323149
"375",0.16127860325524
"376",0.157758317971916
"377",0.167802264158181
"378",0.150416057094224
"379",0.173106410326706
"380",0.155972883129929
"381",0.160074588436985
"382",0.150731852164832
"383",0.14846395093673
"384",0.166326230117194
"385",0.167194066869671
"386",0.146762010496185
"387",0.159412942237746
"388",0.149314771395697
"389",0.160962496430495
"390",0.163072412607535
"391",0.150748452483323
"392",0.154965540739715
"393",0.171554661992973
"394",0.170469639623742
"395",0.165825647081764
"396",0.183393324214712
"397",0.159414989377685
"398",0.154409048627556
"399",0.152888320828793
"400",0.158792997814963
"401",0.156452839375087
"402",0.144107400794936
"403",0.139139188474478
"404",0.152769329028832
"405",0.158183272692063
"406",0.150494556867688
"407",0.132453742991971
"408",0.136296998413122
"409",0.135440589766349
"410",0.140678942213211
"411",0.14438864128349
"412",0.147947245751078
"413",0.131856090288209
"414",0.148460057759626
"415",0.145025640342772
"416",0.13834212511484
"417",0.135272842346446
"418",0.150851256889801
"419",0.14698671993963
"420",0.151440671807515
"421",0.139289458501695
"422",0.132207029172069
"423",0.134169473535938
"424",0.136683745007066
"425",0.1352864305801
"426",0.129313150753984
"427",0.133102274973863
"428",0.135915337683384
"429",0.14679610425545
"430",0.141192443119346
"431",0.160393824848272
"432",0.146047269995294
"433",0.143488810457935
"434",0.155292213424867
"435",0.157835743405951
"436",0.164751339963966
"437",0.152400915363503
"438",0.14194864809139
"439",0.146318846151831
"440",0.148453485514365
"441",0.145307281750681
"442",0.140872962518632
"443",0.156769023841599
"444",0.138768125280177
"445",0.148075712059722
"446",0.13783583944601
"447",0.141090707169362
"448",0.142225747394933
"449",0.148051895391187
"450",0.142984694038977
"451",0.137452031786078
"452",0.130920788313643
"453",0.13880074159293
"454",0.133737198730577
"455",0.127620096627792
"456",0.144156101593075
"457",0.145982966481744
"458",0.147866044345021
"459",0.138206578830531
"460",0.140450238394123
"461",0.125408450939232
"462",0.142796913137593
"463",0.154307135321192
"464",0.14858727161696
"465",0.134025954870732
"466",0.135621022541138
"467",0.146062580074676
"468",0.1533394907318
"469",0.150961828192932
"470",0.138204739596138
"471",0.156485246226391
"472",0.157565096741952
"473",0.158906790207936
"474",0.174036143032647
