AncId,Desc,Branch.Length,Clock.Rate
174,RV2866_15-04-2011_Serengeti.fasta,1258.034185,0.0007
174,173,527.86227,0.0003
175,SD645_30-12-2016_Serengeti.fasta,274.009515,0.0002
175,SD678_06-10-2016_Serengeti.fasta,189.24155,0.0001
176,174,697.396375,0.0004
176,175,3765.42687,0.0002
177,PM024_14-05-2017_Pemba.fasta,703.763435,0.0006
177,RAB16033_07-10-2016_Pemba.fasta,484.99813,0.001
178,177,338.534945,0.0005
178,PM015_09-11-2016_Pemba.fasta,856.442935,0.0002
179,PM019_05-02-2017_Pemba.fasta,1304.697975,0.0002
179,178,360.399905,0.0004
180,179,537.594995,0.0006
180,PM018_17-02-2017_Pemba.fasta,1854.293075,0.0001
181,SD620_20-02-2016_Serengeti.fasta,490.696875,0.0014
181,SD622_15-02-2016_Serengeti.fasta,485.71061,0.0001
182,181,365.396025,0.0003
182,SD643_14-05-2017_Serengeti.fasta,1304.22968,0.0001
183,SD635_07-06-2016_Serengeti.fasta,1205.832615,0.0001
183,182,242.034785,0.0001
184,183,678.52916,0.0002
184,SD681_08-09-2017_Serengeti.fasta,2341.793645,0.0001
185,RV3240_22-05-2015_Serengeti.fasta,407.048365,0.0001
185,RV3253_04-06-2015_Serengeti.fasta,420.04857,0.0002
186,185,801.18741,0.0001
186,RAB12005_09-05-2012_Pemba.fasta,100.883445,0.0001
187,SD648_31-03-2017_Serengeti.fasta,1036.82557,0.0001
187,SD601_17-12-2015_Serengeti.fasta,567.82539,0.0002
188,SD647_18-08-2016_Serengeti.fasta,1375.365625,0.0001
188,187,563.16872,0.0001
189,186,223.51359,0.0005
189,188,509.75535,0.0001
190,SUB7101_24-09-2015_Serengeti.fasta,1689.04699,0.0001
190,189,132.29717,0.0002
191,RAB12039_24-08-2011_Pemba.fasta,39.978815,0.0001
191,RAB12002_15-06-2012_Pemba.fasta,335.525155,0.0001
192,RV3229_05-01-2015_Serengeti.fasta,1596.96844,0.0001
192,191,327.989365,0.0004
193,190,404.367075,0.0003
193,192,234.445705,0.0002
194,184,656.7299,0.0001
194,193,191.10962,0.0002
195,180,1520.39144,0.0005
195,194,579.16156,0.0004
196,SD577_30-09-2015_Serengeti.fasta,69.45439,0.0001
196,SD577sg_30-09-2015_Serengeti.fasta,69.45439,0.0001
197,RV3078_26-05-2013_Serengeti.fasta,314.098925,0.0002
197,196,1101.64446,0.0003
198,RV3093_22-12-2011_Serengeti.fasta,142.53834,0.0001
198,RV3092_16-12-2011_Serengeti.fasta,136.538105,0.0003
199,197,554.632465,0.0003
199,198,206.193245,0.0001
200,RV3109_12-04-2012_Serengeti.fasta,161.11465,0.0002
200,RV3107_09-04-2012_Serengeti.fasta,158.122745,0.0001
201,RV3122_30-03-2012_Serengeti.fasta,45.18408,0.0001
201,RV3124_07-05-2012_Serengeti.fasta,83.08057,0.0001
202,RV3105_22-03-2012_Serengeti.fasta,250.361165,0.0004
202,201,213.155255,0.0002
203,200,252.76761,0.0001
203,202,142.578125,0.0001
204,199,704.491245,0.0005
204,203,751.061595,0.0003
205,RV3151_03-01-2012_Serengeti.fasta,106.273765,0.0002
205,RV3103_10-12-2011_Serengeti.fasta,82.279395,0.0001
206,RV3104_22-12-2011_Serengeti.fasta,205.26943,0.0002
206,205,110.98993,0.0001
207,RV2903_05-10-2011_Serengeti.fasta,116.902565,0.0001
207,RV2900_28-09-2011_Serengeti.fasta,109.902595,0.0002
208,206,695.033,0.0002
208,207,705.399365,0.0003
209,204,298.90069,0.0001
209,208,451.821455,0.0001
210,195,513.120285,0.0003
210,209,653.681785,0.0002
211,176,508.18877,0.0001
211,210,708.81394,0.0005
212,SD709_08-09-2017_Serengeti.fasta,1760.472015,0.0011
212,SD670_11-04-2017_Serengeti.fasta,1610.47198,0.0002
213,RV3053_10-11-2012_Serengeti.fasta,53.329785,0.0001
213,RV3052_13-11-2012_Serengeti.fasta,56.32169,0.0001
214,RV2883_23-07-2011_Serengeti.fasta,113.16387,0.0002
214,213,534.975755,0.0003
215,RV3084_22-08-2013_Serengeti.fasta,584.12702,0.0001
215,RV3113_06-05-2012_Serengeti.fasta,111.78271,0.0002
216,RV3049_04-10-2012_Serengeti.fasta,474.24596,0.0002
216,215,211.875565,0.0003
217,RV3048_17-09-2012_Serengeti.fasta,484.333465,0.0002
217,216,27.041025,0.0001
218,214,122.244705,0.0001
218,217,172.365045,0.0001
219,RV3137_21-07-2012_Serengeti.fasta,310.95445,0.0002
219,RV3051_13-10-2012_Serengeti.fasta,394.72487,0.0003
220,219,67.44105,0.0001
220,RV3136_16-07-2012_Serengeti.fasta,373.40887,0.0002
221,RV3150_24-03-2012_Serengeti.fasta,61.58791,0.0001
221,RV3110_30-04-2012_Serengeti.fasta,98.486855,0.0003
222,RV3134_19-07-2012_Serengeti.fasta,291.944885,0.0001
222,221,113.676695,0.0002
223,220,120.13829,0.0001
223,222,204.59418,0.0002
224,RV3067_25-02-2013_Serengeti.fasta,321.405495,0.0001
224,RV3115_11-05-2012_Serengeti.fasta,32.047365,0.0001
225,224,98.997125,0.0002
225,RV3119_17-05-2012_Serengeti.fasta,137.0283,0.0001
226,223,103.90528,0.0001
226,225,400.588595,0.0004
227,226,202.73852,0.0002
227,RV2894_15-08-2011_Serengeti.fasta,464.72968,0.0003
228,RV2893_01-08-2011_Serengeti.fasta,90.75433,0.0001
228,RV2873_20-06-2011_Serengeti.fasta,48.754145,0.0001
229,228,141.569995,0.0001
229,RV2870_01-06-2011_Serengeti.fasta,171.324065,0.0001
230,RV2879_10-06-2011_Serengeti.fasta,182.69783,0.0001
230,229,2.373595,0.0001
231,230,32.17986,0.0001
231,RV2895_18-08-2011_Serengeti.fasta,283.877655,0.0001
232,RV2891_10-08-2011_Serengeti.fasta,51.68546,0.0001
232,RV2890_03-08-2011_Serengeti.fasta,44.68549,0.0001
233,231,57.365955,0.0001
233,232,281.55808,0.0001
234,RV3131_07-07-2012_Serengeti.fasta,38.47027,0.0001
234,RV3135_19-07-2012_Serengeti.fasta,50.437525,0.0001
235,234,164.537985,0.0002
235,RV3064_02-01-2013_Serengeti.fasta,381.52209,0.0001
236,235,253.53484,0.0002
236,RV3082_03-09-2013_Serengeti.fasta,879.05724,0.0002
237,236,316.12285,0.0001
237,RV2858_21-02-2011_Serengeti.fasta,271.180035,0.0002
238,233,180.243935,0.0001
238,237,72.30723,0.0001
